id,quarter,quarter_qf,hb,hbqf,location,location_qf,specialty,specialty_qf,specialty_name,specialty_name_qf,all_staffed_beds,all_staffed_beds_qf,total_occupied_beds,total_occupied_beds_qf,average_available_staffed_beds,average_available_staffed_beds_qf,average_occupied_beds,average_occupied_beds_qf,percentage_occupancy,percentage_occupancy_qf
74,2020Q1,,SB0801,,SB0801,d,Z9,d,All Specialties,d,14896,,10915,,163.69230769230768,,119.94505494505496,,73.27470461868958,
103,2017Q2,,SB0801,,D102H,,A2,,Cardiology,,2561,,2268,,28.142857142857142,,24.923076923076923,,88.55915657946115,
75,2020Q2,,SB0801,,D102H,,Z9,d,All Specialties,d,14417,,8152,,158.42857142857142,,89.58241758241758,,56.54435735589929,
76,2020Q2,,SB0801,,SB0801,d,Z9,d,All Specialties,d,14417,,8152,,158.42857142857142,,89.58241758241758,,56.54435735589929,
77,2020Q3,,SB0801,,D102H,,Z9,d,All Specialties,d,15524,,10016,,168.7391304347826,,108.8695652173913,,64.51945374903374,
78,2020Q3,,SB0801,,SB0801,d,Z9,d,All Specialties,d,15524,,10016,,168.7391304347826,,108.8695652173913,,64.51945374903374,
79,2020Q4,,SB0801,,D102H,,Z9,d,All Specialties,d,15756,,11255,,171.2608695652174,,122.33695652173913,,71.43310484894643,
80,2020Q4,,SB0801,,SB0801,d,Z9,d,All Specialties,d,15756,,11255,,171.2608695652174,,122.33695652173913,,71.43310484894643,
81,2021Q1,,SB0801,,D102H,,Z9,d,All Specialties,d,16637,,12150,,184.85555555555555,,135,,73.02999338823105,
82,2021Q1,,SB0801,,SB0801,d,Z9,d,All Specialties,d,16637,,12150,,184.85555555555555,,135,,73.02999338823105,
83,2021Q2,p,SB0801,,D102H,,Z9,d,All Specialties,d,16240,,12350,,178.46153846153845,,135.71428571428572,,76.04679802955665,
84,2021Q2,p,SB0801,,SB0801,d,Z9,d,All Specialties,d,16240,,12350,,178.46153846153845,,135.71428571428572,,76.04679802955665,
85,2017Q2,,SB0801,,D102H,,C3,,Anaesthetics,,8,,8,,0.08791208791208792,,0.08791208791208792,,100,
86,2017Q2,,SB0801,,SB0801,d,C3,,Anaesthetics,,8,,8,,0.08791208791208792,,0.08791208791208792,,100,
87,2017Q4,,SB0801,,D102H,,C3,,Anaesthetics,,7,,7,,0.07608695652173914,,0.07608695652173914,,100,
88,2017Q4,,SB0801,,SB0801,d,C3,,Anaesthetics,,7,,7,,0.07608695652173914,,0.07608695652173914,,100,
89,2020Q2,,SB0801,,D102H,,C3,,Anaesthetics,,56,,56,,0.6153846153846154,,0.6153846153846154,,100,
90,2020Q2,,SB0801,,SB0801,d,C3,,Anaesthetics,,56,,56,,0.6153846153846154,,0.6153846153846154,,100,
91,2020Q4,,SB0801,,D102H,,C3,,Anaesthetics,,17,,17,,0.18478260869565216,,0.18478260869565216,,100,
92,2020Q4,,SB0801,,SB0801,d,C3,,Anaesthetics,,17,,17,,0.18478260869565216,,0.18478260869565216,,100,
93,2021Q1,,SB0801,,D102H,,C3,,Anaesthetics,,36,,36,,0.4,,0.4,,100,
94,2021Q1,,SB0801,,SB0801,d,C3,,Anaesthetics,,36,,36,,0.4,,0.4,,100,
95,2016Q2,,SB0801,,D102H,,A2,,Cardiology,,3259,,2918,,35.81318681318681,,32.065934065934066,,89.53666768947531,
96,2016Q2,,SB0801,,SB0801,d,A2,,Cardiology,,3259,,2918,,35.81318681318681,,32.065934065934066,,89.53666768947531,
97,2016Q3,,SB0801,,D102H,,A2,,Cardiology,,2492,,2165,,27.08695652173913,,23.532608695652176,,86.87800963081862,
98,2016Q3,,SB0801,,SB0801,d,A2,,Cardiology,,2492,,2165,,27.08695652173913,,23.532608695652176,,86.87800963081862,
99,2016Q4,,SB0801,,D102H,,A2,,Cardiology,,2443,,2162,,26.554347826086957,,23.5,,88.49774866966844,
100,2016Q4,,SB0801,,SB0801,d,A2,,Cardiology,,2443,,2162,,26.554347826086957,,23.5,,88.49774866966844,
101,2017Q1,,SB0801,,D102H,,A2,,Cardiology,,2306,,2032,,25.622222222222224,,22.57777777777778,,88.11795316565481,
102,2017Q1,,SB0801,,SB0801,d,A2,,Cardiology,,2306,,2032,,25.622222222222224,,22.57777777777778,,88.11795316565481,
104,2017Q2,,SB0801,,SB0801,d,A2,,Cardiology,,2561,,2268,,28.142857142857142,,24.923076923076923,,88.55915657946115,
105,2017Q3,,SB0801,,D102H,,A2,,Cardiology,,2492,,2148,,27.08695652173913,,23.347826086956523,,86.19582664526486,
106,2017Q3,,SB0801,,SB0801,d,A2,,Cardiology,,2492,,2148,,27.08695652173913,,23.347826086956523,,86.19582664526486,
107,2017Q4,,SB0801,,D102H,,A2,,Cardiology,,2635,,2312,,28.64130434782609,,25.130434782608695,,87.74193548387098,
108,2017Q4,,SB0801,,SB0801,d,A2,,Cardiology,,2635,,2312,,28.64130434782609,,25.130434782608695,,87.74193548387098,
109,2018Q1,,SB0801,,D102H,,A2,,Cardiology,,2395,,2050,,26.61111111111111,,22.77777777777778,,85.59498956158664,
110,2018Q1,,SB0801,,SB0801,d,A2,,Cardiology,,2395,,2050,,26.61111111111111,,22.77777777777778,,85.59498956158664,
111,2018Q2,,SB0801,,D102H,,A2,,Cardiology,,2574,,2294,,28.285714285714285,,25.208791208791208,,89.12198912198912,
112,2018Q2,,SB0801,,SB0801,d,A2,,Cardiology,,2574,,2294,,28.285714285714285,,25.208791208791208,,89.12198912198912,
113,2018Q3,,SB0801,,D102H,,A2,,Cardiology,,2728,,2396,,29.652173913043477,,26.043478260869566,,87.82991202346042,
114,2018Q3,,SB0801,,SB0801,d,A2,,Cardiology,,2728,,2396,,29.652173913043477,,26.043478260869566,,87.82991202346042,
115,2018Q4,,SB0801,,D102H,,A2,,Cardiology,,2920,,2574,,31.73913043478261,,27.97826086956522,,88.15068493150685,
116,2018Q4,,SB0801,,SB0801,d,A2,,Cardiology,,2920,,2574,,31.73913043478261,,27.97826086956522,,88.15068493150685,
117,2019Q1,,SB0801,,D102H,,A2,,Cardiology,,2757,,2483,,30.633333333333333,,27.58888888888889,,90.06166122597025,
118,2019Q1,,SB0801,,SB0801,d,A2,,Cardiology,,2757,,2483,,30.633333333333333,,27.58888888888889,,90.06166122597025,
119,2019Q2,,SB0801,,D102H,,A2,,Cardiology,,2637,,2363,,28.978021978021975,,25.967032967032967,,89.60940462646947,
120,2019Q2,,SB0801,,SB0801,d,A2,,Cardiology,,2637,,2363,,28.978021978021975,,25.967032967032967,,89.60940462646947,
121,2019Q3,,SB0801,,D102H,,A2,,Cardiology,,2740,,2352,,29.782608695652176,,25.565217391304348,,85.83941605839416,
122,2019Q3,,SB0801,,SB0801,d,A2,,Cardiology,,2740,,2352,,29.782608695652176,,25.565217391304348,,85.83941605839416,
123,2019Q4,,SB0801,,D102H,,A2,,Cardiology,,2591,,2276,,28.16304347826087,,24.73913043478261,,87.84253184098803,
124,2019Q4,,SB0801,,SB0801,d,A2,,Cardiology,,2591,,2276,,28.16304347826087,,24.73913043478261,,87.84253184098803,
125,2020Q1,,SB0801,,D102H,,A2,,Cardiology,,2692,,2248,,29.582417582417584,,24.703296703296704,,83.50668647845468,
126,2020Q1,,SB0801,,SB0801,d,A2,,Cardiology,,2692,,2248,,29.582417582417584,,24.703296703296704,,83.50668647845468,
127,2020Q2,,SB0801,,D102H,,A2,,Cardiology,,4515,,3294,,49.61538461538461,,36.1978021978022,,72.95681063122925,
128,2020Q2,,SB0801,,SB0801,d,A2,,Cardiology,,4515,,3294,,49.61538461538461,,36.1978021978022,,72.95681063122925,
129,2020Q3,,SB0801,,D102H,,A2,,Cardiology,,4112,,3011,,44.69565217391305,,32.72826086956522,,73.22470817120622,
130,2020Q3,,SB0801,,SB0801,d,A2,,Cardiology,,4112,,3011,,44.69565217391305,,32.72826086956522,,73.22470817120622,
131,2020Q4,,SB0801,,D102H,,A2,,Cardiology,,3667,,2548,,39.858695652173914,,27.695652173913043,,69.48459230979002,
132,2020Q4,,SB0801,,SB0801,d,A2,,Cardiology,,3667,,2548,,39.858695652173914,,27.695652173913043,,69.48459230979002,
133,2021Q1,,SB0801,,D102H,,A2,,Cardiology,,4251,,3061,,47.233333333333334,,34.01111111111111,,72.00658668548577,
134,2021Q1,,SB0801,,SB0801,d,A2,,Cardiology,,4251,,3061,,47.233333333333334,,34.01111111111111,,72.00658668548577,
135,2021Q2,p,SB0801,,D102H,,A2,,Cardiology,,3400,,3118,,37.362637362637365,,34.26373626373626,,91.70588235294116,
136,2021Q2,p,SB0801,,SB0801,d,A2,,Cardiology,,3400,,3118,,37.362637362637365,,34.26373626373626,,91.70588235294116,
137,2016Q2,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7899,,5380,,86.8021978021978,,59.12087912087912,,68.10988732750982,
138,2016Q2,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7899,,5380,,86.8021978021978,,59.12087912087912,,68.10988732750982,
139,2016Q3,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7969,,5427,,86.6195652173913,,58.98913043478261,,68.10139289747774,
140,2016Q3,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7969,,5427,,86.6195652173913,,58.98913043478261,,68.10139289747774,
141,2016Q4,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,8043,,5576,,87.42391304347827,,60.608695652173914,,69.32736541091631,
142,2016Q4,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,8043,,5576,,87.42391304347827,,60.608695652173914,,69.32736541091631,
143,2017Q1,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7771,,5234,,86.34444444444445,,58.15555555555556,,67.35297902457856,
144,2017Q1,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7771,,5234,,86.34444444444445,,58.15555555555556,,67.35297902457856,
145,2017Q2,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7581,,5418,,83.3076923076923,,59.53846153846154,,71.46814404432133,
146,2017Q2,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7581,,5418,,83.3076923076923,,59.53846153846154,,71.46814404432133,
147,2017Q3,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7675,,5552,,83.42391304347827,,60.34782608695652,,72.3387622149837,
148,2017Q3,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7675,,5552,,83.42391304347827,,60.34782608695652,,72.3387622149837,
149,2017Q4,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7791,,5661,,84.68478260869566,,61.53260869565217,,72.66076241817481,
150,2017Q4,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7791,,5661,,84.68478260869566,,61.53260869565217,,72.66076241817481,
151,2018Q1,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7781,,5858,,86.45555555555555,,65.08888888888889,,75.28595296234418,
152,2018Q1,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7781,,5858,,86.45555555555555,,65.08888888888889,,75.28595296234418,
153,2018Q2,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7818,,6052,,85.91208791208791,,66.50549450549451,,77.41110258378102,
154,2018Q2,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7818,,6052,,85.91208791208791,,66.50549450549451,,77.41110258378102,
155,2018Q3,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7681,,5916,,83.48913043478261,,64.30434782608695,,77.02122119515687,
156,2018Q3,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7681,,5916,,83.48913043478261,,64.30434782608695,,77.02122119515687,
157,2018Q4,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7176,,5497,,78,,59.75,,76.6025641025641,
158,2018Q4,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7176,,5497,,78,,59.75,,76.6025641025641,
159,2019Q1,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7230,,5644,,80.33333333333333,,62.71111111111111,,78.06362378976488,
160,2019Q1,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7230,,5644,,80.33333333333333,,62.71111111111111,,78.06362378976488,
161,2019Q2,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7428,,6188,,81.62637362637362,,68,,83.30640818524503,
162,2019Q2,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7428,,6188,,81.62637362637362,,68,,83.30640818524503,
163,2019Q3,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7644,,6197,,83.08695652173913,,67.3586956521739,,81.07012035583465,
164,2019Q3,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7644,,6197,,83.08695652173913,,67.3586956521739,,81.07012035583465,
165,2019Q4,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7877,,6165,,85.6195652173913,,67.01086956521739,,78.26583724768314,
166,2019Q4,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7877,,6165,,85.6195652173913,,67.01086956521739,,78.26583724768314,
167,2020Q1,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7486,,5828,,82.26373626373626,,64.04395604395604,,77.8519903820465,
168,2020Q1,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7486,,5828,,82.26373626373626,,64.04395604395604,,77.8519903820465,
169,2020Q2,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,6612,,3707,,72.65934065934066,,40.73626373626374,,56.064730792498494,
170,2020Q2,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,6612,,3707,,72.65934065934066,,40.73626373626374,,56.064730792498494,
171,2020Q3,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7074,,5123,,76.8913043478261,,55.68478260869565,,72.42013005371784,
172,2020Q3,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7074,,5123,,76.8913043478261,,55.68478260869565,,72.42013005371784,
173,2020Q4,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,6981,,5396,,75.8804347826087,,58.65217391304348,,77.29551640166164,
174,2020Q4,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,6981,,5396,,75.8804347826087,,58.65217391304348,,77.29551640166164,
175,2021Q1,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7232,,5083,,80.35555555555555,,56.477777777777774,,70.28484513274336,
176,2021Q1,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7232,,5083,,80.35555555555555,,56.477777777777774,,70.28484513274336,
177,2021Q2,p,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7502,,5413,,82.43956043956044,,59.48351648351648,,72.15409224206878,
178,2021Q2,p,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7502,,5413,,82.43956043956044,,59.48351648351648,,72.15409224206878,
179,2021Q1,,SB0801,,D102H,,H1,,Clinical Radiology,,27,,27,,0.3,,0.3,,100,
180,2021Q1,,SB0801,,SB0801,d,H1,,Clinical Radiology,,27,,27,,0.3,,0.3,,100,
181,2021Q2,p,SB0801,,D102H,,H1,,Clinical Radiology,,48,,48,,0.5274725274725275,,0.5274725274725275,,100,
182,2021Q2,p,SB0801,,SB0801,d,H1,,Clinical Radiology,,48,,48,,0.5274725274725275,,0.5274725274725275,,100,
183,2021Q1,,SB0801,,D102H,, ,z,Dental Grouping,d,7,,7,,0.07777777777777778,,0.07777777777777778,,100,
184,2021Q1,,SB0801,,SB0801,d, ,z,Dental Grouping,d,7,,7,,0.07777777777777778,,0.07777777777777778,,100,
185,2021Q2,p,SB0801,,D102H,, ,z,Dental Grouping,d,2,,2,,0.02197802197802198,,0.02197802197802198,,100,
186,2021Q2,p,SB0801,,SB0801,d, ,z,Dental Grouping,d,2,,2,,0.02197802197802198,,0.02197802197802198,,100,
187,2020Q2,,SB0801,,D102H,,C5,,"Ear, Nose & Throat (ENT)",,260,,260,,2.857142857142857,,2.857142857142857,,100,
188,2020Q2,,SB0801,,SB0801,d,C5,,"Ear, Nose & Throat (ENT)",,260,,260,,2.857142857142857,,2.857142857142857,,100,
189,2020Q3,,SB0801,,D102H,,C5,,"Ear, Nose & Throat (ENT)",,184,,184,,2,,2,,100,
190,2020Q3,,SB0801,,SB0801,d,C5,,"Ear, Nose & Throat (ENT)",,184,,184,,2,,2,,100,
191,2020Q4,,SB0801,,D102H,,C5,,"Ear, Nose & Throat (ENT)",,122,,122,,1.326086956521739,,1.326086956521739,,100,
192,2020Q4,,SB0801,,SB0801,d,C5,,"Ear, Nose & Throat (ENT)",,122,,122,,1.326086956521739,,1.326086956521739,,100,
193,2021Q1,,SB0801,,D102H,,C5,,"Ear, Nose & Throat (ENT)",,157,,157,,1.7444444444444445,,1.7444444444444445,,100,
194,2021Q1,,SB0801,,SB0801,d,C5,,"Ear, Nose & Throat (ENT)",,157,,157,,1.7444444444444445,,1.7444444444444445,,100,
195,2021Q2,p,SB0801,,D102H,,C5,,"Ear, Nose & Throat (ENT)",,113,,113,,1.2417582417582418,,1.2417582417582418,,100,
196,2021Q2,p,SB0801,,SB0801,d,C5,,"Ear, Nose & Throat (ENT)",,113,,113,,1.2417582417582418,,1.2417582417582418,,100,
197,2016Q2,,SB0801,,D102H,,C1,,General Surgery,,78,,78,,0.8571428571428571,,0.8571428571428571,,100,
198,2016Q2,,SB0801,,SB0801,d,C1,,General Surgery,,78,,78,,0.8571428571428571,,0.8571428571428571,,100,
199,2016Q3,,SB0801,,D102H,,C1,,General Surgery,,75,,75,,0.8152173913043478,,0.8152173913043478,,100,
