year,quarter,week_ending,hb,admission_type,specialty,number_admissions,average20182019,percent_variation
2020,1,2020-01-12,S08000017,All,Surgery,129,123.5,4.5
2020,1,2020-01-12,S08000019,All,Accident & Emergency,5,15,-66.7
2020,1,2020-01-12,S08000019,All,All,801,1316,-39.1
2020,1,2020-01-12,S08000019,All,Gynaecology,26,70,-62.9
2020,1,2020-01-12,S08000019,All,Medical (excl. Cardiology & Cancer),487,752,-35.2
2020,1,2020-01-12,S08000019,All,Medical (incl. Cardiology & Cancer),490,760.5,-35.6
2020,1,2020-01-12,S08000019,All,Paediatrics (medical & surgical),74,157,-52.9
2020,1,2020-01-12,S08000019,All,Paediatrics (medical),74,156.5,-52.7
2020,1,2020-01-12,S08000019,All,Surgery,206,313.5,-34.3
2020,1,2020-01-12,S08000020,All,Accident & Emergency,51,51.5,-1
2020,1,2020-01-12,S08000020,All,All,1329,1363.5,-2.5
2020,1,2020-01-12,S08000020,All,Cancer,40,26,53.8
2020,1,2020-01-12,S08000020,All,Cardiology,33,37.5,-12
2020,1,2020-01-12,S08000020,All,Community,48,68.5,-29.9
2020,1,2020-01-12,S08000020,All,Gynaecology,22,32,-31.2
2020,1,2020-01-12,S08000020,All,Medical (excl. Cardiology & Cancer),488,559,-12.7
2020,1,2020-01-12,S08000020,All,Medical (incl. Cardiology & Cancer),561,622.5,-9.9
2020,1,2020-01-12,S08000020,All,Paediatrics (medical & surgical),151,123.5,22.3
2020,1,2020-01-12,S08000020,All,Paediatrics (medical),132,109.5,20.5
2020,1,2020-01-12,S08000020,All,Paediatrics (surgical),19,14,35.7
2020,1,2020-01-12,S08000020,All,Surgery,496,464,6.9
2020,1,2020-01-12,S08000022,All,All,788,746.5,5.6
2020,1,2020-01-12,S08000022,All,Cancer,8,8,0
2020,1,2020-01-12,S08000022,All,Cardiology,8,8.5,-5.9
2020,1,2020-01-12,S08000022,All,Community,90,111,-18.9
2020,1,2020-01-12,S08000022,All,Gynaecology,24,17,41.2
2020,1,2020-01-12,S08000022,All,Medical (excl. Cardiology & Cancer),313,334,-6.3
2020,1,2020-01-12,S08000022,All,Medical (incl. Cardiology & Cancer),329,350.5,-6.1
2020,1,2020-01-12,S08000022,All,Paediatrics (medical & surgical),81,61,32.8
2020,1,2020-01-12,S08000022,All,Paediatrics (medical),81,61,32.8
2020,1,2020-01-12,S08000022,All,Surgery,264,206.5,27.8
2020,1,2020-01-12,S08000024,All,Accident & Emergency,218,50.5,331.7
2020,1,2020-01-12,S08000024,All,All,2336,2166.5,7.8
2020,1,2020-01-12,S08000024,All,Cancer,134,88.5,51.4
2020,1,2020-01-12,S08000024,All,Cardiology,72,73,-1.4
2020,1,2020-01-12,S08000024,All,Gynaecology,61,57.5,6.1
2020,1,2020-01-12,S08000024,All,Medical (excl. Cardiology & Cancer),978,976.5,0.2
2020,1,2020-01-12,S08000024,All,Medical (incl. Cardiology & Cancer),1184,1138,4
2020,2,2020-05-10,S08000022,All,All,471,827,-43
2020,1,2020-01-12,S08000024,All,Paediatrics (medical & surgical),175,152.5,14.8
2020,1,2020-01-12,S08000024,All,Paediatrics (medical),150,116.5,28.8
2020,1,2020-01-12,S08000024,All,Paediatrics (surgical),25,36,-30.6
2020,1,2020-01-12,S08000024,All,Surgery,697,768,-9.2
2020,1,2020-01-12,S08000025,All,All,44,40,10
2020,1,2020-01-12,S08000025,All,Medical (excl. Cardiology & Cancer),20,28,-28.6
2020,1,2020-01-12,S08000025,All,Medical (incl. Cardiology & Cancer),21,29.5,-28.8
2020,1,2020-01-12,S08000025,All,Surgery,22,10,120
2020,1,2020-01-12,S08000026,All,All,34,47,-27.7
2020,1,2020-01-12,S08000026,All,Medical (excl. Cardiology & Cancer),19,26.5,-28.3
2020,1,2020-01-12,S08000026,All,Medical (incl. Cardiology & Cancer),19,26.5,-28.3
2020,1,2020-01-12,S08000026,All,Surgery,15,20.5,-26.8
2020,1,2020-01-12,S08000028,All,All,86,77.5,11
2020,1,2020-01-12,S08000028,All,Community,15,13,15.4
2020,1,2020-01-12,S08000028,All,Medical (excl. Cardiology & Cancer),38,40.5,-6.2
2020,1,2020-01-12,S08000028,All,Medical (incl. Cardiology & Cancer),38,40.5,-6.2
2020,1,2020-01-12,S08000028,All,Surgery,29,18,61.1
2020,1,2020-01-12,S08000029,All,Accident & Emergency,60,50,20
2020,1,2020-01-12,S08000029,All,All,942,932.5,1
2020,1,2020-01-12,S08000029,All,Cardiology,40,32,25
2020,1,2020-01-12,S08000029,All,Community,13,12,8.3
2020,1,2020-01-12,S08000029,All,Gynaecology,23,27.5,-16.4
2020,1,2020-01-12,S08000029,All,Medical (excl. Cardiology & Cancer),468,483.5,-3.2
2020,1,2020-01-12,S08000029,All,Medical (incl. Cardiology & Cancer),508,515.5,-1.5
2020,1,2020-01-12,S08000029,All,Paediatrics (medical & surgical),83,95.5,-13.1
2020,1,2020-01-12,S08000029,All,Paediatrics (medical),83,95.5,-13.1
2020,1,2020-01-12,S08000029,All,Surgery,255,230.5,10.6
2020,1,2020-01-12,S08000030,All,Accident & Emergency,79,64.5,22.5
2020,1,2020-01-12,S08000030,All,All,1311,1273.5,2.9
2020,1,2020-01-12,S08000030,All,Cancer,23,23,0
2020,1,2020-01-12,S08000030,All,Cardiology,38,34,11.8
2020,1,2020-01-12,S08000030,All,Community,7,22,-68.2
2020,1,2020-01-12,S08000030,All,Gynaecology,43,37,16.2
2020,1,2020-01-12,S08000030,All,Medical (excl. Cardiology & Cancer),582,594,-2
2020,1,2020-01-12,S08000030,All,Medical (incl. Cardiology & Cancer),643,651,-1.2
2020,1,2020-01-12,S08000030,All,Paediatrics (medical & surgical),117,150,-22
2020,1,2020-01-12,S08000030,All,Paediatrics (medical),117,147,-20.4
2020,1,2020-01-12,S08000030,All,Surgery,422,348,21.3
2020,1,2020-01-12,S08000031,All,Accident & Emergency,30,24,25
2020,1,2020-01-12,S08000031,All,All,4139,4204,-1.5
2020,1,2020-01-12,S08000031,All,Cancer,96,92,4.3
2020,1,2020-01-12,S08000031,All,Cardiology,119,155.5,-23.5
2020,1,2020-01-12,S08000031,All,Gynaecology,160,145,10.3
2020,1,2020-01-12,S08000031,All,Medical (excl. Cardiology & Cancer),2040,2086.5,-2.2
2020,1,2020-01-12,S08000031,All,Medical (incl. Cardiology & Cancer),2255,2334,-3.4
2020,1,2020-01-12,S08000031,All,Paediatrics (medical & surgical),268,293,-8.5
2020,1,2020-01-12,S08000031,All,Paediatrics (medical),235,255,-7.8
2020,1,2020-01-12,S08000031,All,Paediatrics (surgical),33,38,-13.2
2020,1,2020-01-12,S08000031,All,Surgery,1425,1406.5,1.3
2020,1,2020-01-12,S08000032,All,All,1722,1788,-3.7
2020,1,2020-01-12,S08000032,All,Cardiology,80,76.5,4.6
2020,1,2020-01-12,S08000032,All,Gynaecology,35,31.5,11.1
2020,1,2020-01-12,S08000032,All,Medical (excl. Cardiology & Cancer),1004,1002.5,0.1
2020,1,2020-01-12,S08000032,All,Medical (incl. Cardiology & Cancer),1084,1079,0.5
2020,1,2020-01-12,S08000032,All,Paediatrics (medical & surgical),146,236,-38.1
2020,1,2020-01-12,S08000032,All,Paediatrics (medical),146,235,-37.9
2020,1,2020-01-12,S08000032,All,Surgery,454,437,3.9
2020,1,2020-01-12,S92000003,All,Accident & Emergency,454,278.5,63
2020,1,2020-01-12,S92000003,All,All,15308,15876.5,-3.6
2020,1,2020-01-12,S92000003,All,Cancer,302,239.5,26.1
2020,1,2020-01-12,S92000003,All,Cardiology,417,455,-8.4
2020,1,2020-01-12,S92000003,All,Community,210,280.5,-25.1
2020,1,2020-01-12,S92000003,All,Gynaecology,414,436.5,-5.2
2020,1,2020-01-12,S92000003,All,Medical (excl. Cardiology & Cancer),7470,7976,-6.3
2020,1,2020-01-12,S92000003,All,Medical (incl. Cardiology & Cancer),8189,8670.5,-5.6
2020,1,2020-01-12,S92000003,All,Paediatrics (medical & surgical),1276,1506.5,-15.3
2020,1,2020-01-12,S92000003,All,Paediatrics (medical),1199,1414,-15.2
2020,1,2020-01-12,S92000003,All,Paediatrics (surgical),77,92.5,-16.8
2020,1,2020-01-12,S92000003,All,Surgery,4763,4698,1.4
2020,1,2020-01-19,S08000015,All,Accident & Emergency,14,28,-50
2020,1,2020-01-19,S08000015,All,All,1055,1206.5,-12.6
2020,1,2020-01-19,S08000015,All,Cardiology,20,18.5,8.1
2020,1,2020-01-19,S08000015,All,Medical (excl. Cardiology & Cancer),609,672.5,-9.4
2020,1,2020-01-19,S08000015,All,Medical (incl. Cardiology & Cancer),629,691.5,-9
2020,1,2020-01-19,S08000015,All,Paediatrics (medical & surgical),104,160,-35
2020,1,2020-01-19,S08000020,All,Surgery,455,491.5,-7.4
2020,1,2020-01-19,S08000015,All,Paediatrics (medical),103,160,-35.6
2020,1,2020-01-19,S08000015,All,Surgery,308,326.5,-5.7
2020,1,2020-01-19,S08000016,All,All,240,243.5,-1.4
2020,1,2020-01-19,S08000016,All,Cardiology,8,10.5,-23.8
2020,1,2020-01-19,S08000016,All,Community,14,15.5,-9.7
2020,1,2020-01-19,S08000016,All,Medical (excl. Cardiology & Cancer),135,126.5,6.7
2020,1,2020-01-19,S08000016,All,Medical (incl. Cardiology & Cancer),143,137,4.4
2020,1,2020-01-19,S08000016,All,Paediatrics (medical & surgical),25,29,-13.8
2020,1,2020-01-19,S08000016,All,Paediatrics (medical),25,29,-13.8
2020,1,2020-01-19,S08000016,All,Surgery,58,62,-6.5
2020,1,2020-01-19,S08000017,All,All,421,446,-5.6
2020,1,2020-01-19,S08000017,All,Community,37,31.5,17.5
2020,1,2020-01-19,S08000017,All,Gynaecology,20,16,25
2020,1,2020-01-19,S08000017,All,Medical (excl. Cardiology & Cancer),211,217.5,-3
2020,1,2020-01-19,S08000017,All,Medical (incl. Cardiology & Cancer),214,220.5,-2.9
2020,1,2020-01-19,S08000017,All,Paediatrics (medical & surgical),40,59.5,-32.8
2020,1,2020-01-19,S08000017,All,Paediatrics (medical),40,59.5,-32.8
2020,1,2020-01-19,S08000017,All,Surgery,110,118.5,-7.2
2020,1,2020-01-19,S08000019,All,Accident & Emergency,9,11,-18.2
2020,1,2020-01-19,S08000019,All,All,790,1289.5,-38.7
2020,1,2020-01-19,S08000019,All,Cardiology,6,16,-62.5
2020,1,2020-01-19,S08000019,All,Gynaecology,28,60.5,-53.7
2020,1,2020-01-19,S08000019,All,Medical (excl. Cardiology & Cancer),469,718.5,-34.7
2020,1,2020-01-19,S08000019,All,Medical (incl. Cardiology & Cancer),475,734.5,-35.3
2020,1,2020-01-19,S08000019,All,Paediatrics (medical & surgical),74,150,-50.7
2020,1,2020-01-19,S08000019,All,Paediatrics (medical),74,150,-50.7
2020,1,2020-01-19,S08000019,All,Surgery,203,333.5,-39.1
2020,1,2020-01-19,S08000020,All,Accident & Emergency,71,44.5,59.6
2020,1,2020-01-19,S08000020,All,All,1355,1356,-0.1
2020,1,2020-01-19,S08000020,All,Cancer,47,29,62.1
2020,1,2020-01-19,S08000020,All,Cardiology,40,40,0
2020,1,2020-01-19,S08000020,All,Community,56,67.5,-17
2020,1,2020-01-19,S08000020,All,Gynaecology,29,33.5,-13.4
2020,1,2020-01-19,S08000020,All,Medical (excl. Cardiology & Cancer),528,528.5,-0.1
2020,1,2020-01-19,S08000020,All,Medical (incl. Cardiology & Cancer),615,597.5,2.9
2020,1,2020-01-19,S08000020,All,Paediatrics (medical & surgical),129,121.5,6.2
2020,1,2020-01-19,S08000020,All,Paediatrics (medical),112,105.5,6.2
2020,1,2020-01-19,S08000020,All,Paediatrics (surgical),17,16,6.2
2020,1,2020-01-19,S08000022,All,All,764,794,-3.8
2020,1,2020-01-19,S08000022,All,Cancer,6,12.5,-52
2020,1,2020-01-19,S08000022,All,Cardiology,11,14.5,-24.1
2020,1,2020-01-19,S08000022,All,Community,109,99,10.1
2020,1,2020-01-19,S08000022,All,Gynaecology,30,22.5,33.3
2020,1,2020-01-19,S08000022,All,Medical (excl. Cardiology & Cancer),306,345,-11.3
2020,1,2020-01-19,S08000022,All,Medical (incl. Cardiology & Cancer),323,372,-13.2
2020,1,2020-01-19,S08000022,All,Paediatrics (medical & surgical),56,83.5,-32.9
2020,1,2020-01-19,S08000022,All,Paediatrics (medical),56,83.5,-32.9
2020,1,2020-01-19,S08000022,All,Surgery,246,216.5,13.6
2020,1,2020-01-19,S08000024,All,Accident & Emergency,263,27.5,856.4
2020,1,2020-01-19,S08000024,All,All,2409,2064,16.7
2020,1,2020-01-19,S08000024,All,Cancer,116,85,36.5
2020,1,2020-01-19,S08000024,All,Cardiology,64,76,-15.8
2020,1,2020-01-19,S08000024,All,Gynaecology,56,49.5,13.1
2020,1,2020-01-19,S08000024,All,Medical (excl. Cardiology & Cancer),975,944,3.3
2020,1,2020-01-19,S08000024,All,Medical (incl. Cardiology & Cancer),1155,1105,4.5
2020,1,2020-01-19,S08000024,All,Paediatrics (medical & surgical),179,158.5,12.9
2020,1,2020-01-19,S08000024,All,Paediatrics (medical),163,134,21.6
2020,1,2020-01-19,S08000024,All,Paediatrics (surgical),16,24.5,-34.7
2020,1,2020-01-19,S08000024,All,Surgery,756,723.5,4.5
2020,1,2020-01-19,S08000025,All,All,47,43.5,8
2020,1,2020-01-19,S08000025,All,Medical (excl. Cardiology & Cancer),24,26,-7.7
2020,1,2020-01-19,S08000025,All,Medical (incl. Cardiology & Cancer),24,26,-7.7
2020,1,2020-01-19,S08000025,All,Surgery,23,16,43.8
2020,1,2020-01-19,S08000026,All,All,28,49,-42.9
2020,1,2020-01-19,S08000026,All,Medical (excl. Cardiology & Cancer),16,28,-42.9
2020,1,2020-01-19,S08000026,All,Medical (incl. Cardiology & Cancer),16,28,-42.9
2020,1,2020-01-19,S08000026,All,Surgery,12,20,-40
2020,1,2020-01-19,S08000028,All,All,71,74.5,-4.7
2020,1,2020-01-19,S08000028,All,Community,11,13.5,-18.5
2020,1,2020-01-19,S08000028,All,Medical (excl. Cardiology & Cancer),37,34,8.8
2020,1,2020-01-19,S08000028,All,Medical (incl. Cardiology & Cancer),37,34,8.8
2020,1,2020-01-19,S08000028,All,Surgery,17,19.5,-12.8
2020,1,2020-01-19,S08000029,All,Accident & Emergency,84,54,55.6
2020,1,2020-01-19,S08000029,All,All,977,904.5,8
2020,1,2020-01-19,S08000029,All,Cardiology,32,20.5,56.1
2020,1,2020-01-19,S08000029,All,Community,17,14.5,17.2
2020,1,2020-01-19,S08000029,All,Gynaecology,29,28,3.6
2020,1,2020-01-19,S08000029,All,Medical (excl. Cardiology & Cancer),462,466.5,-1
2020,1,2020-01-19,S08000029,All,Medical (incl. Cardiology & Cancer),494,487,1.4
2020,1,2020-01-19,S08000029,All,Paediatrics (medical & surgical),110,88,25
2020,1,2020-01-19,S08000029,All,Paediatrics (medical),110,87.5,25.7
2020,1,2020-01-19,S08000029,All,Surgery,243,232,4.7
2020,1,2020-01-19,S08000030,All,Accident & Emergency,61,65.5,-6.9
2020,1,2020-01-19,S08000030,All,All,1299,1311,-0.9
2020,1,2020-01-19,S08000030,All,Cancer,30,31,-3.2
2020,1,2020-01-19,S08000030,All,Cardiology,27,31.5,-14.3
2020,1,2020-01-19,S08000030,All,Community,8,28,-71.4
2020,1,2020-01-19,S08000030,All,Gynaecology,48,36,33.3
2020,1,2020-01-19,S08000030,All,Medical (excl. Cardiology & Cancer),559,564.5,-1
2020,1,2020-01-19,S08000030,All,Medical (incl. Cardiology & Cancer),616,627,-1.8
2020,1,2020-01-19,S08000030,All,Paediatrics (medical & surgical),150,141.5,6
2020,1,2020-01-19,S08000030,All,Paediatrics (medical),147,137,7.3
2020,1,2020-01-19,S08000030,All,Surgery,416,413,0.7
2020,1,2020-01-19,S08000031,All,Accident & Emergency,31,34,-8.8
2020,1,2020-01-19,S08000031,All,All,4076,4136,-1.5
2020,1,2020-01-19,S08000031,All,Cancer,91,85,7.1
2020,1,2020-01-19,S08000031,All,Cardiology,138,133,3.8
2020,1,2020-01-19,S08000031,All,Gynaecology,142,154.5,-8.1
2020,1,2020-01-19,S08000031,All,Medical (excl. Cardiology & Cancer),1955,2031,-3.7
