year,quarter,hb,location,specialty,specialty_name,all_staffed_beds,total_occupied_beds,average_available_staffed_beds,average_occupied_beds,percentage_occupancy
2020,1,SB0801,SB0801,NA,All Acute,14896,10915,163.69230769230768,119.94505494505496,73.27470461868958
2020,2,SB0801,D102H,NA,All Acute,14366,8101,157.86813186813183,89.02197802197803,56.39008770708619
2020,2,SB0801,SB0801,NA,All Acute,14366,8101,157.86813186813183,89.02197802197803,56.39008770708619
2020,3,SB0801,D102H,NA,All Acute,15442,9934,167.84782608695653,107.97826086956522,64.33104520139878
2020,3,SB0801,SB0801,NA,All Acute,15442,9934,167.84782608695653,107.97826086956522,64.33104520139878
2020,4,SB0801,D102H,NA,All Acute,15665,11164,170.27173913043478,121.34782608695652,71.26715608043409
2020,4,SB0801,SB0801,NA,All Acute,15665,11164,170.27173913043478,121.34782608695652,71.26715608043409
2021,1,SB0801,D102H,NA,All Acute,16547,12060,183.85555555555555,134,72.88330210914366
2021,1,SB0801,SB0801,NA,All Acute,16547,12060,183.85555555555555,134,72.88330210914366
2021,2,SB0801,D102H,NA,All Acute,16159,12269,177.57142857142858,134.82417582417582,75.92672813911751
2021,2,SB0801,SB0801,NA,All Acute,16159,12269,177.57142857142858,134.82417582417582,75.92672813911751
2016,2,SB0801,D102H,Z9,All Specialties,16875,13158,185.43956043956044,144.5934065934066,77.97333333333334
2016,2,SB0801,SB0801,Z9,All Specialties,16875,13158,185.43956043956044,144.5934065934066,77.97333333333334
2016,3,SB0801,D102H,Z9,All Specialties,16413,12380,178.40217391304347,134.56521739130434,75.42801437884604
2016,3,SB0801,SB0801,Z9,All Specialties,16413,12380,178.40217391304347,134.56521739130434,75.42801437884604
2016,4,SB0801,D102H,Z9,All Specialties,16117,12049,175.18478260869566,130.9673913043478,74.7595706396972
2016,4,SB0801,SB0801,Z9,All Specialties,16117,12049,175.18478260869566,130.9673913043478,74.7595706396972
2017,1,SB0801,D102H,Z9,All Specialties,15622,11569,173.57777777777778,128.54444444444445,74.0558187171937
2017,1,SB0801,SB0801,Z9,All Specialties,15622,11569,173.57777777777778,128.54444444444445,74.0558187171937
2017,2,SB0801,D102H,Z9,All Specialties,15604,11614,171.47252747252747,127.62637362637362,74.42963342732632
2017,2,SB0801,SB0801,Z9,All Specialties,15604,11614,171.47252747252747,127.62637362637362,74.42963342732632
2017,3,SB0801,D102H,Z9,All Specialties,15426,11658,167.67391304347825,126.71739130434784,75.57370672889927
2017,3,SB0801,SB0801,Z9,All Specialties,15426,11658,167.67391304347825,126.71739130434784,75.57370672889927
2017,4,SB0801,D102H,Z9,All Specialties,16159,12434,175.6413043478261,135.15217391304347,76.94783093013181
2017,4,SB0801,SB0801,Z9,All Specialties,16159,12434,175.6413043478261,135.15217391304347,76.94783093013181
2018,1,SB0801,D102H,Z9,All Specialties,15681,11871,174.23333333333332,131.9,75.70308016070405
2018,1,SB0801,SB0801,Z9,All Specialties,15681,11871,174.23333333333332,131.9,75.70308016070405
2018,2,SB0801,D102H,Z9,All Specialties,15817,12349,173.8131868131868,135.7032967032967,78.0742239362711
2018,2,SB0801,SB0801,Z9,All Specialties,15817,12349,173.8131868131868,135.7032967032967,78.0742239362711
2018,3,SB0801,D102H,Z9,All Specialties,15806,12390,171.80434782608697,134.67391304347825,78.38795394154118
2018,3,SB0801,SB0801,Z9,All Specialties,15806,12390,171.80434782608697,134.67391304347825,78.38795394154118
2018,4,SB0801,D102H,Z9,All Specialties,14852,11765,161.43478260869566,127.8804347826087,79.21492054942095
2018,4,SB0801,SB0801,Z9,All Specialties,14852,11765,161.43478260869566,127.8804347826087,79.21492054942095
2019,1,SB0801,D102H,Z9,All Specialties,14783,11654,164.25555555555556,129.48888888888888,78.83379557599946
2019,1,SB0801,SB0801,Z9,All Specialties,14783,11654,164.25555555555556,129.48888888888888,78.83379557599946
2019,2,SB0801,D102H,Z9,All Specialties,14929,11897,164.05494505494505,130.73626373626374,79.69053519994641
2019,2,SB0801,SB0801,Z9,All Specialties,14929,11897,164.05494505494505,130.73626373626374,79.69053519994641
2019,3,SB0801,D102H,Z9,All Specialties,15392,12067,167.30434782608697,131.16304347826087,78.39786902286902
2019,3,SB0801,SB0801,Z9,All Specialties,15392,12067,167.30434782608697,131.16304347826087,78.39786902286902
2019,4,SB0801,D102H,Z9,All Specialties,15603,11659,169.59782608695653,126.72826086956522,74.72280971608023
2019,4,SB0801,SB0801,Z9,All Specialties,15603,11659,169.59782608695653,126.72826086956522,74.72280971608023
2020,1,SB0801,D102H,Z9,All Specialties,14896,10915,163.69230769230768,119.94505494505496,73.27470461868958
2020,1,SB0801,SB0801,Z9,All Specialties,14896,10915,163.69230769230768,119.94505494505496,73.27470461868958
2017,2,SB0801,D102H,A2,Cardiology,2561,2268,28.142857142857142,24.923076923076923,88.55915657946115
2020,2,SB0801,D102H,Z9,All Specialties,14417,8152,158.42857142857142,89.58241758241758,56.54435735589929
2020,2,SB0801,SB0801,Z9,All Specialties,14417,8152,158.42857142857142,89.58241758241758,56.54435735589929
2020,3,SB0801,D102H,Z9,All Specialties,15524,10016,168.7391304347826,108.8695652173913,64.51945374903374
2020,3,SB0801,SB0801,Z9,All Specialties,15524,10016,168.7391304347826,108.8695652173913,64.51945374903374
2020,4,SB0801,D102H,Z9,All Specialties,15756,11255,171.2608695652174,122.33695652173913,71.43310484894643
2020,4,SB0801,SB0801,Z9,All Specialties,15756,11255,171.2608695652174,122.33695652173913,71.43310484894643
2021,1,SB0801,D102H,Z9,All Specialties,16637,12150,184.85555555555555,135,73.02999338823105
2021,1,SB0801,SB0801,Z9,All Specialties,16637,12150,184.85555555555555,135,73.02999338823105
2021,2,SB0801,D102H,Z9,All Specialties,16240,12350,178.46153846153845,135.71428571428572,76.04679802955665
2021,2,SB0801,SB0801,Z9,All Specialties,16240,12350,178.46153846153845,135.71428571428572,76.04679802955665
2017,2,SB0801,D102H,C3,Anaesthetics,8,8,0.08791208791208792,0.08791208791208792,100
2017,2,SB0801,SB0801,C3,Anaesthetics,8,8,0.08791208791208792,0.08791208791208792,100
2017,4,SB0801,D102H,C3,Anaesthetics,7,7,0.07608695652173914,0.07608695652173914,100
2017,4,SB0801,SB0801,C3,Anaesthetics,7,7,0.07608695652173914,0.07608695652173914,100
2020,2,SB0801,D102H,C3,Anaesthetics,56,56,0.6153846153846154,0.6153846153846154,100
2020,2,SB0801,SB0801,C3,Anaesthetics,56,56,0.6153846153846154,0.6153846153846154,100
2020,4,SB0801,D102H,C3,Anaesthetics,17,17,0.18478260869565216,0.18478260869565216,100
2020,4,SB0801,SB0801,C3,Anaesthetics,17,17,0.18478260869565216,0.18478260869565216,100
2021,1,SB0801,D102H,C3,Anaesthetics,36,36,0.4,0.4,100
2021,1,SB0801,SB0801,C3,Anaesthetics,36,36,0.4,0.4,100
2016,2,SB0801,D102H,A2,Cardiology,3259,2918,35.81318681318681,32.065934065934066,89.53666768947531
2016,2,SB0801,SB0801,A2,Cardiology,3259,2918,35.81318681318681,32.065934065934066,89.53666768947531
2016,3,SB0801,D102H,A2,Cardiology,2492,2165,27.08695652173913,23.532608695652176,86.87800963081862
2016,3,SB0801,SB0801,A2,Cardiology,2492,2165,27.08695652173913,23.532608695652176,86.87800963081862
2016,4,SB0801,D102H,A2,Cardiology,2443,2162,26.554347826086957,23.5,88.49774866966844
2016,4,SB0801,SB0801,A2,Cardiology,2443,2162,26.554347826086957,23.5,88.49774866966844
2017,1,SB0801,D102H,A2,Cardiology,2306,2032,25.622222222222224,22.57777777777778,88.11795316565481
2017,1,SB0801,SB0801,A2,Cardiology,2306,2032,25.622222222222224,22.57777777777778,88.11795316565481
2017,2,SB0801,SB0801,A2,Cardiology,2561,2268,28.142857142857142,24.923076923076923,88.55915657946115
2017,3,SB0801,D102H,A2,Cardiology,2492,2148,27.08695652173913,23.347826086956523,86.19582664526486
2017,3,SB0801,SB0801,A2,Cardiology,2492,2148,27.08695652173913,23.347826086956523,86.19582664526486
2017,4,SB0801,D102H,A2,Cardiology,2635,2312,28.64130434782609,25.130434782608695,87.74193548387098
2017,4,SB0801,SB0801,A2,Cardiology,2635,2312,28.64130434782609,25.130434782608695,87.74193548387098
2018,1,SB0801,D102H,A2,Cardiology,2395,2050,26.61111111111111,22.77777777777778,85.59498956158664
2018,1,SB0801,SB0801,A2,Cardiology,2395,2050,26.61111111111111,22.77777777777778,85.59498956158664
2018,2,SB0801,D102H,A2,Cardiology,2574,2294,28.285714285714285,25.208791208791208,89.12198912198912
2018,2,SB0801,SB0801,A2,Cardiology,2574,2294,28.285714285714285,25.208791208791208,89.12198912198912
2018,3,SB0801,D102H,A2,Cardiology,2728,2396,29.652173913043477,26.043478260869566,87.82991202346042
2018,3,SB0801,SB0801,A2,Cardiology,2728,2396,29.652173913043477,26.043478260869566,87.82991202346042
2018,4,SB0801,D102H,A2,Cardiology,2920,2574,31.73913043478261,27.97826086956522,88.15068493150685
2018,4,SB0801,SB0801,A2,Cardiology,2920,2574,31.73913043478261,27.97826086956522,88.15068493150685
2019,1,SB0801,D102H,A2,Cardiology,2757,2483,30.633333333333333,27.58888888888889,90.06166122597025
2019,1,SB0801,SB0801,A2,Cardiology,2757,2483,30.633333333333333,27.58888888888889,90.06166122597025
2019,2,SB0801,D102H,A2,Cardiology,2637,2363,28.978021978021975,25.967032967032967,89.60940462646947
2019,2,SB0801,SB0801,A2,Cardiology,2637,2363,28.978021978021975,25.967032967032967,89.60940462646947
2019,3,SB0801,D102H,A2,Cardiology,2740,2352,29.782608695652176,25.565217391304348,85.83941605839416
2019,3,SB0801,SB0801,A2,Cardiology,2740,2352,29.782608695652176,25.565217391304348,85.83941605839416
2019,4,SB0801,D102H,A2,Cardiology,2591,2276,28.16304347826087,24.73913043478261,87.84253184098803
2019,4,SB0801,SB0801,A2,Cardiology,2591,2276,28.16304347826087,24.73913043478261,87.84253184098803
2020,1,SB0801,D102H,A2,Cardiology,2692,2248,29.582417582417584,24.703296703296704,83.50668647845468
2020,1,SB0801,SB0801,A2,Cardiology,2692,2248,29.582417582417584,24.703296703296704,83.50668647845468
2020,2,SB0801,D102H,A2,Cardiology,4515,3294,49.61538461538461,36.1978021978022,72.95681063122925
2020,2,SB0801,SB0801,A2,Cardiology,4515,3294,49.61538461538461,36.1978021978022,72.95681063122925
2020,3,SB0801,D102H,A2,Cardiology,4112,3011,44.69565217391305,32.72826086956522,73.22470817120622
2020,3,SB0801,SB0801,A2,Cardiology,4112,3011,44.69565217391305,32.72826086956522,73.22470817120622
2020,4,SB0801,D102H,A2,Cardiology,3667,2548,39.858695652173914,27.695652173913043,69.48459230979002
2020,4,SB0801,SB0801,A2,Cardiology,3667,2548,39.858695652173914,27.695652173913043,69.48459230979002
2021,1,SB0801,D102H,A2,Cardiology,4251,3061,47.233333333333334,34.01111111111111,72.00658668548577
2021,1,SB0801,SB0801,A2,Cardiology,4251,3061,47.233333333333334,34.01111111111111,72.00658668548577
2021,2,SB0801,D102H,A2,Cardiology,3400,3118,37.362637362637365,34.26373626373626,91.70588235294116
2021,2,SB0801,SB0801,A2,Cardiology,3400,3118,37.362637362637365,34.26373626373626,91.70588235294116
2016,2,SB0801,D102H,C4,Cardiothoracic Surgery,7899,5380,86.8021978021978,59.12087912087912,68.10988732750982
2016,2,SB0801,SB0801,C4,Cardiothoracic Surgery,7899,5380,86.8021978021978,59.12087912087912,68.10988732750982
2016,3,SB0801,D102H,C4,Cardiothoracic Surgery,7969,5427,86.6195652173913,58.98913043478261,68.10139289747774
2016,3,SB0801,SB0801,C4,Cardiothoracic Surgery,7969,5427,86.6195652173913,58.98913043478261,68.10139289747774
2016,4,SB0801,D102H,C4,Cardiothoracic Surgery,8043,5576,87.42391304347827,60.608695652173914,69.32736541091631
2016,4,SB0801,SB0801,C4,Cardiothoracic Surgery,8043,5576,87.42391304347827,60.608695652173914,69.32736541091631
2017,1,SB0801,D102H,C4,Cardiothoracic Surgery,7771,5234,86.34444444444445,58.15555555555556,67.35297902457856
2017,1,SB0801,SB0801,C4,Cardiothoracic Surgery,7771,5234,86.34444444444445,58.15555555555556,67.35297902457856
2017,2,SB0801,D102H,C4,Cardiothoracic Surgery,7581,5418,83.3076923076923,59.53846153846154,71.46814404432133
2017,2,SB0801,SB0801,C4,Cardiothoracic Surgery,7581,5418,83.3076923076923,59.53846153846154,71.46814404432133
2017,3,SB0801,D102H,C4,Cardiothoracic Surgery,7675,5552,83.42391304347827,60.34782608695652,72.3387622149837
2017,3,SB0801,SB0801,C4,Cardiothoracic Surgery,7675,5552,83.42391304347827,60.34782608695652,72.3387622149837
2017,4,SB0801,D102H,C4,Cardiothoracic Surgery,7791,5661,84.68478260869566,61.53260869565217,72.66076241817481
2017,4,SB0801,SB0801,C4,Cardiothoracic Surgery,7791,5661,84.68478260869566,61.53260869565217,72.66076241817481
2018,1,SB0801,D102H,C4,Cardiothoracic Surgery,7781,5858,86.45555555555555,65.08888888888889,75.28595296234418
2018,1,SB0801,SB0801,C4,Cardiothoracic Surgery,7781,5858,86.45555555555555,65.08888888888889,75.28595296234418
2018,2,SB0801,D102H,C4,Cardiothoracic Surgery,7818,6052,85.91208791208791,66.50549450549451,77.41110258378102
2018,2,SB0801,SB0801,C4,Cardiothoracic Surgery,7818,6052,85.91208791208791,66.50549450549451,77.41110258378102
2018,3,SB0801,D102H,C4,Cardiothoracic Surgery,7681,5916,83.48913043478261,64.30434782608695,77.02122119515687
2018,3,SB0801,SB0801,C4,Cardiothoracic Surgery,7681,5916,83.48913043478261,64.30434782608695,77.02122119515687
2018,4,SB0801,D102H,C4,Cardiothoracic Surgery,7176,5497,78,59.75,76.6025641025641
2018,4,SB0801,SB0801,C4,Cardiothoracic Surgery,7176,5497,78,59.75,76.6025641025641
2019,1,SB0801,D102H,C4,Cardiothoracic Surgery,7230,5644,80.33333333333333,62.71111111111111,78.06362378976488
2019,1,SB0801,SB0801,C4,Cardiothoracic Surgery,7230,5644,80.33333333333333,62.71111111111111,78.06362378976488
2019,2,SB0801,D102H,C4,Cardiothoracic Surgery,7428,6188,81.62637362637362,68,83.30640818524503
2019,2,SB0801,SB0801,C4,Cardiothoracic Surgery,7428,6188,81.62637362637362,68,83.30640818524503
2019,3,SB0801,D102H,C4,Cardiothoracic Surgery,7644,6197,83.08695652173913,67.3586956521739,81.07012035583465
2019,3,SB0801,SB0801,C4,Cardiothoracic Surgery,7644,6197,83.08695652173913,67.3586956521739,81.07012035583465
2019,4,SB0801,D102H,C4,Cardiothoracic Surgery,7877,6165,85.6195652173913,67.01086956521739,78.26583724768314
2019,4,SB0801,SB0801,C4,Cardiothoracic Surgery,7877,6165,85.6195652173913,67.01086956521739,78.26583724768314
2020,1,SB0801,D102H,C4,Cardiothoracic Surgery,7486,5828,82.26373626373626,64.04395604395604,77.8519903820465
2020,1,SB0801,SB0801,C4,Cardiothoracic Surgery,7486,5828,82.26373626373626,64.04395604395604,77.8519903820465
2020,2,SB0801,D102H,C4,Cardiothoracic Surgery,6612,3707,72.65934065934066,40.73626373626374,56.064730792498494
2020,2,SB0801,SB0801,C4,Cardiothoracic Surgery,6612,3707,72.65934065934066,40.73626373626374,56.064730792498494
2020,3,SB0801,D102H,C4,Cardiothoracic Surgery,7074,5123,76.8913043478261,55.68478260869565,72.42013005371784
2020,3,SB0801,SB0801,C4,Cardiothoracic Surgery,7074,5123,76.8913043478261,55.68478260869565,72.42013005371784
2020,4,SB0801,D102H,C4,Cardiothoracic Surgery,6981,5396,75.8804347826087,58.65217391304348,77.29551640166164
2020,4,SB0801,SB0801,C4,Cardiothoracic Surgery,6981,5396,75.8804347826087,58.65217391304348,77.29551640166164
2021,1,SB0801,D102H,C4,Cardiothoracic Surgery,7232,5083,80.35555555555555,56.477777777777774,70.28484513274336
2021,1,SB0801,SB0801,C4,Cardiothoracic Surgery,7232,5083,80.35555555555555,56.477777777777774,70.28484513274336
2021,2,SB0801,D102H,C4,Cardiothoracic Surgery,7502,5413,82.43956043956044,59.48351648351648,72.15409224206878
2021,2,SB0801,SB0801,C4,Cardiothoracic Surgery,7502,5413,82.43956043956044,59.48351648351648,72.15409224206878
2021,1,SB0801,D102H,H1,Clinical Radiology,27,27,0.3,0.3,100
2021,1,SB0801,SB0801,H1,Clinical Radiology,27,27,0.3,0.3,100
2021,2,SB0801,D102H,H1,Clinical Radiology,48,48,0.5274725274725275,0.5274725274725275,100
2021,2,SB0801,SB0801,H1,Clinical Radiology,48,48,0.5274725274725275,0.5274725274725275,100
2021,1,SB0801,D102H,NA,Dental Grouping,7,7,0.07777777777777778,0.07777777777777778,100
2021,1,SB0801,SB0801,NA,Dental Grouping,7,7,0.07777777777777778,0.07777777777777778,100
2021,2,SB0801,D102H,NA,Dental Grouping,2,2,0.02197802197802198,0.02197802197802198,100
2021,2,SB0801,SB0801,NA,Dental Grouping,2,2,0.02197802197802198,0.02197802197802198,100
2020,2,SB0801,D102H,C5,"Ear, Nose & Throat (ENT)",260,260,2.857142857142857,2.857142857142857,100
2020,2,SB0801,SB0801,C5,"Ear, Nose & Throat (ENT)",260,260,2.857142857142857,2.857142857142857,100
2020,3,SB0801,D102H,C5,"Ear, Nose & Throat (ENT)",184,184,2,2,100
2020,3,SB0801,SB0801,C5,"Ear, Nose & Throat (ENT)",184,184,2,2,100
2020,4,SB0801,D102H,C5,"Ear, Nose & Throat (ENT)",122,122,1.326086956521739,1.326086956521739,100
2020,4,SB0801,SB0801,C5,"Ear, Nose & Throat (ENT)",122,122,1.326086956521739,1.326086956521739,100
2021,1,SB0801,D102H,C5,"Ear, Nose & Throat (ENT)",157,157,1.7444444444444445,1.7444444444444445,100
2021,1,SB0801,SB0801,C5,"Ear, Nose & Throat (ENT)",157,157,1.7444444444444445,1.7444444444444445,100
2021,2,SB0801,D102H,C5,"Ear, Nose & Throat (ENT)",113,113,1.2417582417582418,1.2417582417582418,100
2021,2,SB0801,SB0801,C5,"Ear, Nose & Throat (ENT)",113,113,1.2417582417582418,1.2417582417582418,100
2016,2,SB0801,D102H,C1,General Surgery,78,78,0.8571428571428571,0.8571428571428571,100
2016,2,SB0801,SB0801,C1,General Surgery,78,78,0.8571428571428571,0.8571428571428571,100
2016,3,SB0801,D102H,C1,General Surgery,75,75,0.8152173913043478,0.8152173913043478,100
2016,3,SB0801,SB0801,C1,General Surgery,75,75,0.8152173913043478,0.8152173913043478,100
2016,4,SB0801,D102H,C1,General Surgery,73,73,0.7934782608695652,0.7934782608695652,100
2016,4,SB0801,SB0801,C1,General Surgery,73,73,0.7934782608695652,0.7934782608695652,100
2017,1,SB0801,D102H,C1,General Surgery,70,70,0.7777777777777778,0.7777777777777778,100
2017,1,SB0801,SB0801,C1,General Surgery,70,70,0.7777777777777778,0.7777777777777778,100
2017,2,SB0801,D102H,C1,General Surgery,57,57,0.6263736263736264,0.6263736263736264,100
2017,2,SB0801,SB0801,C1,General Surgery,57,57,0.6263736263736264,0.6263736263736264,100
2017,3,SB0801,D102H,C1,General Surgery,65,65,0.7065217391304348,0.7065217391304348,100
2017,3,SB0801,SB0801,C1,General Surgery,65,65,0.7065217391304348,0.7065217391304348,100
2017,4,SB0801,D102H,C1,General Surgery,47,47,0.5108695652173914,0.5108695652173914,100
2017,4,SB0801,SB0801,C1,General Surgery,47,47,0.5108695652173914,0.5108695652173914,100
2018,1,SB0801,D102H,C1,General Surgery,72,72,0.8,0.8,100
2018,1,SB0801,SB0801,C1,General Surgery,72,72,0.8,0.8,100
2018,2,SB0801,D102H,C1,General Surgery,49,49,0.5384615384615384,0.5384615384615384,100
2018,2,SB0801,SB0801,C1,General Surgery,49,49,0.5384615384615384,0.5384615384615384,100
2018,3,SB0801,D102H,C1,General Surgery,61,61,0.6630434782608695,0.6630434782608695,100
2018,3,SB0801,SB0801,C1,General Surgery,61,61,0.6630434782608695,0.6630434782608695,100
2018,4,SB0801,D102H,C1,General Surgery,94,94,1.0217391304347827,1.0217391304347827,100
2018,4,SB0801,SB0801,C1,General Surgery,94,94,1.0217391304347827,1.0217391304347827,100
2019,1,SB0801,D102H,C1,General Surgery,39,39,0.43333333333333335,0.43333333333333335,100
2019,1,SB0801,SB0801,C1,General Surgery,39,39,0.43333333333333335,0.43333333333333335,100
2019,2,SB0801,D102H,C1,General Surgery,43,43,0.4725274725274725,0.4725274725274725,100
2019,2,SB0801,SB0801,C1,General Surgery,43,43,0.4725274725274725,0.4725274725274725,100
2019,3,SB0801,D102H,C1,General Surgery,34,34,0.3695652173913043,0.3695652173913043,100
2019,3,SB0801,SB0801,C1,General Surgery,34,34,0.3695652173913043,0.3695652173913043,100
2019,4,SB0801,D102H,C1,General Surgery,47,47,0.5108695652173914,0.5108695652173914,100
2019,4,SB0801,SB0801,C1,General Surgery,47,47,0.5108695652173914,0.5108695652173914,100
2020,1,SB0801,D102H,C1,General Surgery,55,55,0.6043956043956044,0.6043956043956044,100
2020,1,SB0801,SB0801,C1,General Surgery,55,55,0.6043956043956044,0.6043956043956044,100
2020,2,SB0801,D102H,C1,General Surgery,804,111,8.835164835164836,1.21978021978022,13.805970149253731
2020,2,SB0801,SB0801,C1,General Surgery,804,111,8.835164835164836,1.21978021978022,13.805970149253731
2020,3,SB0801,D102H,C1,General Surgery,1022,145,11.108695652173912,1.576086956521739,14.187866927592957
2020,3,SB0801,SB0801,C1,General Surgery,1022,145,11.108695652173912,1.576086956521739,14.187866927592957
2020,4,SB0801,D102H,C1,General Surgery,67,67,0.7282608695652174,0.7282608695652174,100
2020,4,SB0801,SB0801,C1,General Surgery,67,67,0.7282608695652174,0.7282608695652174,100
2021,1,SB0801,D102H,C1,General Surgery,154,154,1.711111111111111,1.711111111111111,100
2021,1,SB0801,SB0801,C1,General Surgery,154,154,1.711111111111111,1.711111111111111,100
2021,2,SB0801,D102H,C1,General Surgery,1001,33,11,0.3626373626373626,3.296703296703297
2021,2,SB0801,SB0801,C1,General Surgery,1001,33,11,0.3626373626373626,3.296703296703297
2020,2,SB0801,D102H,F2,Gynaecology,51,51,0.5604395604395604,0.5604395604395604,100
2020,2,SB0801,SB0801,F2,Gynaecology,51,51,0.5604395604395604,0.5604395604395604,100
2020,3,SB0801,D102H,F2,Gynaecology,82,82,0.8913043478260869,0.8913043478260869,100
2020,3,SB0801,SB0801,F2,Gynaecology,82,82,0.8913043478260869,0.8913043478260869,100
2020,4,SB0801,D102H,F2,Gynaecology,91,91,0.9891304347826086,0.9891304347826086,100
2020,4,SB0801,SB0801,F2,Gynaecology,91,91,0.9891304347826086,0.9891304347826086,100
2021,1,SB0801,D102H,F2,Gynaecology,83,83,0.9222222222222224,0.9222222222222224,100
2021,1,SB0801,SB0801,F2,Gynaecology,83,83,0.9222222222222224,0.9222222222222224,100
2021,2,SB0801,D102H,F2,Gynaecology,79,79,0.8681318681318682,0.8681318681318682,100
2021,2,SB0801,SB0801,F2,Gynaecology,79,79,0.8681318681318682,0.8681318681318682,100
2016,2,SB0801,D102H,NA,Medical Grouping,3405,3064,37.417582417582416,33.67032967032967,89.98531571218797
2016,2,SB0801,SB0801,NA,Medical Grouping,3405,3064,37.417582417582416,33.67032967032967,89.98531571218797
2016,3,SB0801,D102H,NA,Medical Grouping,2611,2284,28.380434782608695,24.82608695652174,87.47606281118345
2016,3,SB0801,SB0801,NA,Medical Grouping,2611,2284,28.380434782608695,24.82608695652174,87.47606281118345
2016,4,SB0801,D102H,NA,Medical Grouping,2562,2276,27.847826086956523,24.73913043478261,88.8368462138954
2016,4,SB0801,SB0801,NA,Medical Grouping,2562,2276,27.847826086956523,24.73913043478261,88.8368462138954
2017,1,SB0801,D102H,NA,Medical Grouping,2429,2154,26.988888888888887,23.933333333333337,88.678468505557845
2017,1,SB0801,SB0801,NA,Medical Grouping,2429,2154,26.988888888888887,23.933333333333337,88.678468505557845
2017,2,SB0801,D102H,NA,Medical Grouping,2697,2400,29.63736263736264,26.373626373626372,88.98776418242491
2017,2,SB0801,SB0801,NA,Medical Grouping,2697,2400,29.63736263736264,26.373626373626372,88.98776418242491
2017,3,SB0801,D102H,NA,Medical Grouping,2636,2292,28.652173913043477,24.91304347826087,86.94992412746588
2017,3,SB0801,SB0801,NA,Medical Grouping,2636,2292,28.652173913043477,24.91304347826087,86.94992412746588
2017,4,SB0801,D102H,NA,Medical Grouping,2769,2446,30.097826086956523,26.58695652173913,88.33513903936438
