local_authority,date_code,measurement,value,sex,age
Aberdeen City,2010-2012,95% Lower Confidence Limit,66.89,Male,10-14 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,67.78,Male,10-14 years
Aberdeen City,2010-2012,Count,67.34,Male,10-14 years
Aberdeen City,2010-2012,Count,71.42,Female,10-14 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,71.83,Female,10-14 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,71.01,Female,10-14 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,61.94,Male,15-19 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,62.82,Male,15-19 years
Aberdeen City,2010-2012,Count,62.38,Male,15-19 years
Aberdeen City,2010-2012,Count,66.44,Female,15-19 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,66.85,Female,15-19 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,66.03,Female,15-19 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,57.08,Male,20-24 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,57.95,Male,20-24 years
Aberdeen City,2010-2012,Count,57.51,Male,20-24 years
Aberdeen City,2010-2012,Count,61.5,Female,20-24 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,61.91,Female,20-24 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,61.1,Female,20-24 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,52.14,Male,25-29 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,53,Male,25-29 years
Aberdeen City,2010-2012,Count,52.57,Male,25-29 years
Aberdeen City,2010-2012,Count,56.55,Female,25-29 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,56.95,Female,25-29 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,56.15,Female,25-29 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,47.43,Male,30-34 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,48.28,Male,30-34 years
Aberdeen City,2010-2012,Count,47.85,Male,30-34 years
Aberdeen City,2010-2012,Count,51.68,Female,30-34 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,52.08,Female,30-34 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,51.29,Female,30-34 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,42.74,Male,35-39 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,43.57,Male,35-39 years
Aberdeen City,2010-2012,Count,43.16,Male,35-39 years
Aberdeen City,2010-2012,Count,46.82,Female,35-39 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,47.22,Female,35-39 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,46.43,Female,35-39 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,38.08,Male,40-44 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,38.89,Male,40-44 years
Aberdeen City,2010-2012,Count,38.48,Male,40-44 years
Aberdeen City,2010-2012,Count,42.03,Female,40-44 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,42.41,Female,40-44 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,41.64,Female,40-44 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,33.52,Male,45-49 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,34.3,Male,45-49 years
Aberdeen City,2010-2012,Count,33.91,Male,45-49 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,37.65,Female,45-49 years
Aberdeen City,2010-2012,Count,37.28,Female,45-49 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,36.91,Female,45-49 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,29.03,Male,50-54 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,29.8,Male,50-54 years
Aberdeen City,2010-2012,Count,29.42,Male,50-54 years
Aberdeen City,2010-2012,Count,32.62,Female,50-54 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,32.98,Female,50-54 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,32.26,Female,50-54 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,24.75,Male,55-59 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,25.5,Male,55-59 years
Aberdeen City,2010-2012,Count,25.13,Male,55-59 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,28.45,Female,55-59 years
Aberdeen City,2010-2012,Count,28.1,Female,55-59 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,27.75,Female,55-59 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,20.67,Male,60-64 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,21.38,Male,60-64 years
Aberdeen City,2010-2012,Count,21.02,Male,60-64 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,24.03,Female,60-64 years
Aberdeen City,2010-2012,Count,23.69,Female,60-64 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,23.36,Female,60-64 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,16.82,Male,65-69 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,17.51,Male,65-69 years
Aberdeen City,2010-2012,Count,17.17,Male,65-69 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,19.97,Female,65-69 years
Aberdeen City,2010-2012,Count,19.65,Female,65-69 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,19.34,Female,65-69 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,13.27,Male,70-74 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,13.93,Male,70-74 years
Aberdeen City,2010-2012,Count,13.6,Male,70-74 years
Aberdeen City,2010-2012,Count,15.73,Female,70-74 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,16.03,Female,70-74 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,15.44,Female,70-74 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,10.24,Male,75-79 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,10.87,Male,75-79 years
Aberdeen City,2010-2012,Count,10.55,Male,75-79 years
Aberdeen City,2010-2012,Count,12.03,Female,75-79 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,12.3,Female,75-79 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,11.76,Female,75-79 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,7.65,Male,80-84 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,8.28,Male,80-84 years
Aberdeen City,2010-2012,Count,7.96,Male,80-84 years
Aberdeen City,2010-2012,Count,8.98,Female,80-84 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,9.23,Female,80-84 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,8.72,Female,80-84 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,5.64,Male,85-89 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,6.34,Male,85-89 years
Aberdeen City,2010-2012,Count,5.99,Male,85-89 years
Aberdeen City,2010-2012,Count,6.4,Female,85-89 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,6.67,Female,85-89 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,6.14,Female,85-89 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,3.62,Male,90 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,4.61,Male,90 years
Aberdeen City,2010-2012,Count,4.12,Male,90 years
Aberdeen City,2010-2012,Count,4.55,Female,90 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,4.9,Female,90 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,4.2,Female,90 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,77.5,Male,0 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,76.56,Male,0 years
Aberdeen City,2011-2013,Count,77.03,Male,0 years
Aberdeen City,2011-2013,Count,81.24,Female,0 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,80.8,Female,0 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,81.68,Female,0 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,76.81,Male,1-4 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,75.91,Male,1-4 years
Aberdeen City,2011-2013,Count,76.36,Male,1-4 years
Aberdeen City,2011-2013,Count,80.54,Female,1-4 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,80.13,Female,1-4 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,80.96,Female,1-4 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,72.86,Male,5-9 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,71.98,Male,5-9 years
Aberdeen City,2011-2013,Count,72.42,Male,5-9 years
Aberdeen City,2011-2013,Count,76.57,Female,5-9 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,76.15,Female,5-9 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,76.98,Female,5-9 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,67.89,Male,10-14 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,67,Male,10-14 years
Aberdeen City,2011-2013,Count,67.44,Male,10-14 years
Aberdeen City,2011-2013,Count,71.59,Female,10-14 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,71.18,Female,10-14 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,72,Female,10-14 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,62.95,Male,15-19 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,62.08,Male,15-19 years
Aberdeen City,2011-2013,Count,62.51,Male,15-19 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,66.21,Female,15-19 years
Aberdeen City,2011-2013,Count,66.62,Female,15-19 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,67.03,Female,15-19 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,58.11,Male,20-24 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,57.26,Male,20-24 years
Aberdeen City,2011-2013,Count,57.68,Male,20-24 years
Aberdeen City,2011-2013,Count,61.7,Female,20-24 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,61.3,Female,20-24 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,62.1,Female,20-24 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,53.13,Male,25-29 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,52.28,Male,25-29 years
Aberdeen City,2011-2013,Count,52.71,Male,25-29 years
Aberdeen City,2011-2013,Count,56.73,Female,25-29 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,56.33,Female,25-29 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,57.13,Female,25-29 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,48.33,Male,30-34 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,47.49,Male,30-34 years
Aberdeen City,2011-2013,Count,47.91,Male,30-34 years
Aberdeen City,2011-2013,Count,51.82,Female,30-34 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,51.42,Female,30-34 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,52.21,Female,30-34 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,43.57,Male,35-39 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,42.75,Male,35-39 years
Aberdeen City,2011-2013,Count,43.16,Male,35-39 years
Aberdeen City,2011-2013,Count,46.97,Female,35-39 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,46.58,Female,35-39 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,47.36,Female,35-39 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,38.86,Male,40-44 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,38.06,Male,40-44 years
Aberdeen City,2011-2013,Count,38.46,Male,40-44 years
Aberdeen City,2011-2013,Count,42.11,Female,40-44 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,41.72,Female,40-44 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,42.49,Female,40-44 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,34.25,Male,45-49 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,33.47,Male,45-49 years
Aberdeen City,2011-2013,Count,33.86,Male,45-49 years
Aberdeen City,2011-2013,Count,37.39,Female,45-49 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,37.02,Female,45-49 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,37.77,Female,45-49 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,29.73,Male,50-54 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,28.97,Male,50-54 years
Aberdeen City,2011-2013,Count,29.35,Male,50-54 years
Aberdeen City,2011-2013,Count,32.81,Female,50-54 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,32.45,Female,50-54 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,33.18,Female,50-54 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,25.4,Male,55-59 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,24.67,Male,55-59 years
Aberdeen City,2011-2013,Count,25.03,Male,55-59 years
Aberdeen City,2011-2013,Count,28.25,Female,55-59 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,27.89,Female,55-59 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,28.6,Female,55-59 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,21.3,Male,60-64 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,20.6,Male,60-64 years
Aberdeen City,2011-2013,Count,20.95,Male,60-64 years
Aberdeen City,2011-2013,Count,23.82,Female,60-64 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,23.49,Female,60-64 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,24.16,Female,60-64 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,17.52,Male,65-69 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,16.84,Male,65-69 years
Aberdeen City,2011-2013,Count,17.18,Male,65-69 years
Aberdeen City,2011-2013,Count,19.76,Female,65-69 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,19.45,Female,65-69 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,20.08,Female,65-69 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,13.94,Male,70-74 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,13.29,Male,70-74 years
Aberdeen City,2011-2013,Count,13.62,Male,70-74 years
Aberdeen City,2011-2013,Count,15.83,Female,70-74 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,15.53,Female,70-74 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,16.12,Female,70-74 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,10.92,Male,75-79 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,10.31,Male,75-79 years
Aberdeen City,2011-2013,Count,10.62,Male,75-79 years
Aberdeen City,2011-2013,Count,12.17,Female,75-79 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,11.9,Female,75-79 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,12.44,Female,75-79 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,8.25,Male,80-84 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,7.64,Male,80-84 years
Aberdeen City,2011-2013,Count,7.94,Male,80-84 years
Aberdeen City,2011-2013,Count,9.05,Female,80-84 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,8.79,Female,80-84 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,9.3,Female,80-84 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,6.22,Male,85-89 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,5.54,Male,85-89 years
Aberdeen City,2011-2013,Count,5.88,Male,85-89 years
Aberdeen City,2011-2013,Count,6.53,Female,85-89 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,6.26,Female,85-89 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,6.8,Female,85-89 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,4.61,Male,90 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,3.64,Male,90 years
Aberdeen City,2011-2013,Count,4.13,Male,90 years
Aberdeen City,2011-2013,Count,4.59,Female,90 years
Aberdeen City,2011-2013,95% Lower Confidence Limit,4.24,Female,90 years
Aberdeen City,2011-2013,95% Upper Confidence Limit,4.94,Female,90 years
Aberdeen City,2012-2014,95% Lower Confidence Limit,76.25,Male,0 years
Aberdeen City,2012-2014,95% Upper Confidence Limit,77.21,Male,0 years
Aberdeen City,2012-2014,Count,76.73,Male,0 years
Aberdeen City,2012-2014,Count,81,Female,0 years
Aberdeen City,2012-2014,95% Lower Confidence Limit,80.56,Female,0 years
Aberdeen City,2012-2014,95% Upper Confidence Limit,81.44,Female,0 years
Aberdeen City,2012-2014,95% Lower Confidence Limit,75.73,Male,1-4 years
Aberdeen City,2012-2014,95% Upper Confidence Limit,76.62,Male,1-4 years
Aberdeen City,2012-2014,Count,76.17,Male,1-4 years
Aberdeen City,2012-2014,Count,80.32,Female,1-4 years
Aberdeen City,2012-2014,95% Lower Confidence Limit,79.91,Female,1-4 years
Aberdeen City,2012-2014,95% Upper Confidence Limit,80.73,Female,1-4 years
Aberdeen City,2012-2014,95% Upper Confidence Limit,72.66,Male,5-9 years
Aberdeen City,2012-2014,95% Lower Confidence Limit,71.77,Male,5-9 years
Aberdeen City,2012-2014,Count,72.21,Male,5-9 years
Aberdeen City,2012-2014,Count,76.35,Female,5-9 years
Aberdeen City,2012-2014,95% Lower Confidence Limit,75.94,Female,5-9 years
Aberdeen City,2012-2014,95% Upper Confidence Limit,76.75,Female,5-9 years
Aberdeen City,2012-2014,95% Upper Confidence Limit,67.72,Male,10-14 years
Aberdeen City,2012-2014,95% Lower Confidence Limit,66.85,Male,10-14 years
Aberdeen City,2012-2014,Count,67.28,Male,10-14 years
Aberdeen City,2012-2014,Count,71.37,Female,10-14 years
Aberdeen City,2012-2014,95% Lower Confidence Limit,70.97,Female,10-14 years
