council_area,drug_name,num_deaths,year
Inverclyde,Methadone,2,2009
Inverclyde,Any Benzodiazepine,5,2009
Inverclyde,Diazepam,5,2009
Inverclyde,Temazepam,0,2009
Inverclyde,Cocaine,1,2009
Inverclyde,Ecstasy,0,2009
Inverclyde,Amphetamines,0,2009
Inverclyde,Alcohol,2,2009
Midlothian,All drug-related deaths,9,2009
Midlothian,Heroin/Morphine,3,2009
Midlothian,Methadone,3,2009
Midlothian,Any Benzodiazepine,5,2009
Midlothian,Diazepam,5,2009
Midlothian,Temazepam,0,2009
Midlothian,Cocaine,3,2009
Midlothian,Ecstasy,0,2009
Midlothian,Amphetamines,0,2009
Midlothian,Alcohol,2,2009
Moray,All drug-related deaths,7,2009
Moray,Heroin/Morphine,3,2009
Moray,Methadone,3,2009
Moray,Any Benzodiazepine,7,2009
Moray,Diazepam,0,2009
Moray,Temazepam,0,2009
Moray,Cocaine,1,2009
Moray,Ecstasy,0,2009
Moray,Amphetamines,0,2009
Moray,Alcohol,5,2009
North Ayrshire,All drug-related deaths,19,2009
North Ayrshire,Heroin/Morphine,13,2009
North Ayrshire,Methadone,7,2009
North Ayrshire,Any Benzodiazepine,14,2009
North Ayrshire,Diazepam,12,2009
North Ayrshire,Temazepam,1,2009
North Ayrshire,Cocaine,1,2009
North Ayrshire,Ecstasy,1,2009
North Ayrshire,Amphetamines,0,2009
North Ayrshire,Alcohol,12,2009
North Lanarkshire,All drug-related deaths,35,2009
North Lanarkshire,Heroin/Morphine,27,2009
North Lanarkshire,Methadone,10,2009
North Lanarkshire,Any Benzodiazepine,26,2009
North Lanarkshire,Diazepam,23,2009
North Lanarkshire,Temazepam,0,2009
North Lanarkshire,Cocaine,4,2009
North Lanarkshire,Ecstasy,0,2009
North Lanarkshire,Amphetamines,2,2009
North Lanarkshire,Alcohol,20,2009
Orkney Islands,All drug-related deaths,0,2009
Orkney Islands,Heroin/Morphine,0,2009
Orkney Islands,Methadone,0,2009
Orkney Islands,Any Benzodiazepine,0,2009
Orkney Islands,Diazepam,0,2009
Orkney Islands,Temazepam,0,2009
Orkney Islands,Cocaine,0,2009
Orkney Islands,Ecstasy,0,2009
Orkney Islands,Amphetamines,0,2009
Orkney Islands,Alcohol,0,2009
Perth and Kinross,All drug-related deaths,5,2009
Perth and Kinross,Heroin/Morphine,3,2009
Perth and Kinross,Methadone,1,2009
Perth and Kinross,Any Benzodiazepine,5,2009
Perth and Kinross,Diazepam,4,2009
Perth and Kinross,Temazepam,1,2009
Perth and Kinross,Cocaine,0,2009
Perth and Kinross,Ecstasy,0,2009
Perth and Kinross,Amphetamines,0,2009
Perth and Kinross,Alcohol,3,2009
Renfrewshire,All drug-related deaths,26,2009
Renfrewshire,Heroin/Morphine,19,2009
Renfrewshire,Methadone,9,2009
Renfrewshire,Any Benzodiazepine,18,2009
Renfrewshire,Diazepam,18,2009
Renfrewshire,Temazepam,0,2009
Renfrewshire,Cocaine,5,2009
Renfrewshire,Ecstasy,0,2009
Renfrewshire,Amphetamines,0,2009
Renfrewshire,Alcohol,12,2009
Scottish Borders,All drug-related deaths,5,2009
Scottish Borders,Heroin/Morphine,2,2009
Scottish Borders,Methadone,0,2009
Scottish Borders,Any Benzodiazepine,4,2009
Scottish Borders,Diazepam,3,2009
Scottish Borders,Temazepam,0,2009
Scottish Borders,Cocaine,0,2009
Scottish Borders,Ecstasy,0,2009
Scottish Borders,Amphetamines,0,2009
Scottish Borders,Alcohol,4,2009
Shetland Islands,All drug-related deaths,0,2009
Shetland Islands,Heroin/Morphine,0,2009
Shetland Islands,Methadone,0,2009
Shetland Islands,Any Benzodiazepine,0,2009
Shetland Islands,Diazepam,0,2009
Shetland Islands,Temazepam,0,2009
Shetland Islands,Cocaine,0,2009
Shetland Islands,Ecstasy,0,2009
Shetland Islands,Amphetamines,0,2009
Shetland Islands,Alcohol,0,2009
South Ayrshire,All drug-related deaths,8,2009
South Ayrshire,Heroin/Morphine,4,2009
South Ayrshire,Methadone,4,2009
South Ayrshire,Any Benzodiazepine,6,2009
South Ayrshire,Diazepam,5,2009
South Ayrshire,Temazepam,0,2009
South Ayrshire,Cocaine,0,2009
South Ayrshire,Ecstasy,0,2009
South Ayrshire,Amphetamines,1,2009
South Ayrshire,Alcohol,5,2009
South Lanarkshire,All drug-related deaths,19,2009
South Lanarkshire,Heroin/Morphine,10,2009
South Lanarkshire,Methadone,6,2009
South Lanarkshire,Any Benzodiazepine,14,2009
South Lanarkshire,Diazepam,14,2009
South Lanarkshire,Temazepam,0,2009
South Lanarkshire,Cocaine,3,2009
South Lanarkshire,Ecstasy,0,2009
South Lanarkshire,Amphetamines,0,2009
South Lanarkshire,Alcohol,12,2009
Stirling,All drug-related deaths,6,2009
Stirling,Heroin/Morphine,4,2009
Stirling,Methadone,0,2009
Stirling,Any Benzodiazepine,4,2009
Stirling,Diazepam,4,2009
Stirling,Temazepam,0,2009
Stirling,Cocaine,0,2009
Stirling,Ecstasy,0,2009
Stirling,Amphetamines,0,2009
Stirling,Alcohol,4,2009
West Dunbartonshire,All drug-related deaths,13,2009
West Dunbartonshire,Heroin/Morphine,10,2009
West Dunbartonshire,Methadone,7,2009
West Dunbartonshire,Any Benzodiazepine,11,2009
West Dunbartonshire,Diazepam,11,2009
West Dunbartonshire,Temazepam,0,2009
West Dunbartonshire,Cocaine,1,2009
West Dunbartonshire,Ecstasy,0,2009
West Dunbartonshire,Amphetamines,0,2009
West Dunbartonshire,Alcohol,9,2009
West Lothian,All drug-related deaths,21,2009
West Lothian,Heroin/Morphine,13,2009
West Lothian,Methadone,9,2009
West Lothian,Any Benzodiazepine,16,2009
West Lothian,Diazepam,16,2009
West Lothian,Temazepam,4,2009
West Lothian,Cocaine,1,2009
West Lothian,Ecstasy,0,2009
West Lothian,Amphetamines,0,2009
West Lothian,Alcohol,6,2009
Scotland,All drug-related deaths,485,2010
Scotland,Heroin/Morphine,269,2010
Scotland,Methadone,182,2010
Scotland,Any Benzodiazepine,324,2010
Scotland,Diazepam,288,2010
Scotland,Temazepam,14,2010
Scotland,Cocaine,50,2010
Scotland,Ecstasy,1,2010
Scotland,Amphetamines,9,2010
Scotland,Alcohol,219,2010
Aberdeen City,All drug-related deaths,31,2010
Aberdeen City,Heroin/Morphine,13,2010
Aberdeen City,Methadone,14,2010
Aberdeen City,Any Benzodiazepine,26,2010
Aberdeen City,Diazepam,3,2010
Aberdeen City,Temazepam,0,2010
Aberdeen City,Cocaine,9,2010
Aberdeen City,Ecstasy,0,2010
Aberdeen City,Amphetamines,0,2010
Aberdeen City,Alcohol,19,2010
Aberdeenshire,All drug-related deaths,10,2010
Aberdeenshire,Heroin/Morphine,1,2010
Aberdeenshire,Methadone,5,2010
Aberdeenshire,Any Benzodiazepine,7,2010
Aberdeenshire,Diazepam,3,2010
Aberdeenshire,Temazepam,1,2010
Aberdeenshire,Cocaine,2,2010
Aberdeenshire,Ecstasy,0,2010
Aberdeenshire,Amphetamines,0,2010
Aberdeenshire,Alcohol,7,2010
Angus,All drug-related deaths,9,2010
Angus,Heroin/Morphine,6,2010
Angus,Methadone,0,2010
Angus,Any Benzodiazepine,1,2010
Angus,Diazepam,1,2010
Angus,Temazepam,0,2010
Angus,Cocaine,0,2010
Angus,Ecstasy,0,2010
Angus,Amphetamines,0,2010
Angus,Alcohol,2,2010
Argyll and Bute,All drug-related deaths,4,2010
Argyll and Bute,Heroin/Morphine,2,2010
Argyll and Bute,Methadone,1,2010
Argyll and Bute,Any Benzodiazepine,4,2010
Argyll and Bute,Diazepam,4,2010
Argyll and Bute,Temazepam,0,2010
Argyll and Bute,Cocaine,1,2010
Argyll and Bute,Ecstasy,0,2010
Argyll and Bute,Amphetamines,0,2010
Argyll and Bute,Alcohol,3,2010
Clackmannanshire,All drug-related deaths,1,2010
Clackmannanshire,Heroin/Morphine,1,2010
Clackmannanshire,Methadone,0,2010
Clackmannanshire,Any Benzodiazepine,0,2010
Clackmannanshire,Diazepam,0,2010
Clackmannanshire,Temazepam,0,2010
Clackmannanshire,Cocaine,0,2010
Clackmannanshire,Ecstasy,0,2010
Clackmannanshire,Amphetamines,0,2010
Clackmannanshire,Alcohol,1,2010
Dumfries and Galloway,All drug-related deaths,6,2010
Dumfries and Galloway,Heroin/Morphine,3,2010
Dumfries and Galloway,Methadone,2,2010
Dumfries and Galloway,Any Benzodiazepine,3,2010
Dumfries and Galloway,Diazepam,3,2010
Dumfries and Galloway,Temazepam,0,2010
Dumfries and Galloway,Cocaine,0,2010
Dumfries and Galloway,Ecstasy,0,2010
Dumfries and Galloway,Amphetamines,0,2010
Dumfries and Galloway,Alcohol,2,2010
Dundee City,All drug-related deaths,22,2010
Dundee City,Heroin/Morphine,10,2010
Dundee City,Methadone,10,2010
Dundee City,Any Benzodiazepine,9,2010
Dundee City,Diazepam,9,2010
Dundee City,Temazepam,0,2010
Dundee City,Cocaine,0,2010
Dundee City,Ecstasy,0,2010
Dundee City,Amphetamines,0,2010
Dundee City,Alcohol,2,2010
East Ayrshire,All drug-related deaths,11,2010
East Ayrshire,Heroin/Morphine,6,2010
East Ayrshire,Methadone,4,2010
East Ayrshire,Any Benzodiazepine,10,2010
East Ayrshire,Diazepam,10,2010
East Ayrshire,Temazepam,0,2010
East Ayrshire,Cocaine,1,2010
East Ayrshire,Ecstasy,0,2010
East Ayrshire,Amphetamines,1,2010
East Ayrshire,Alcohol,7,2010
East Dunbartonshire,All drug-related deaths,6,2010
East Dunbartonshire,Heroin/Morphine,4,2010
East Dunbartonshire,Methadone,1,2010
East Dunbartonshire,Any Benzodiazepine,5,2010
East Dunbartonshire,Diazepam,5,2010
East Dunbartonshire,Temazepam,0,2010
East Dunbartonshire,Cocaine,0,2010
East Dunbartonshire,Ecstasy,0,2010
East Dunbartonshire,Amphetamines,0,2010
East Dunbartonshire,Alcohol,3,2010
East Lothian,All drug-related deaths,7,2010
East Lothian,Heroin/Morphine,5,2010
East Lothian,Methadone,3,2010
East Lothian,Any Benzodiazepine,5,2010
East Lothian,Diazepam,5,2010
East Lothian,Temazepam,1,2010
East Lothian,Cocaine,0,2010
East Lothian,Ecstasy,0,2010
East Lothian,Amphetamines,0,2010
East Lothian,Alcohol,3,2010
East Renfrewshire,All drug-related deaths,4,2010
East Renfrewshire,Heroin/Morphine,4,2010
East Renfrewshire,Methadone,0,2010
East Renfrewshire,Any Benzodiazepine,3,2010
East Renfrewshire,Diazepam,3,2010
East Renfrewshire,Temazepam,0,2010
East Renfrewshire,Cocaine,0,2010
East Renfrewshire,Ecstasy,0,2010
East Renfrewshire,Amphetamines,0,2010
East Renfrewshire,Alcohol,3,2010
City of Edinburgh,All drug-related deaths,47,2010
City of Edinburgh,Heroin/Morphine,19,2010
City of Edinburgh,Methadone,23,2010
City of Edinburgh,Any Benzodiazepine,31,2010
City of Edinburgh,Diazepam,30,2010
City of Edinburgh,Temazepam,9,2010
City of Edinburgh,Cocaine,2,2010
City of Edinburgh,Ecstasy,0,2010
City of Edinburgh,Amphetamines,0,2010
City of Edinburgh,Alcohol,19,2010
Eilean Siar,All drug-related deaths,1,2010
Eilean Siar,Heroin/Morphine,0,2010
Eilean Siar,Methadone,0,2010
Eilean Siar,Any Benzodiazepine,1,2010
Eilean Siar,Diazepam,0,2010
Eilean Siar,Temazepam,0,2010
Eilean Siar,Cocaine,0,2010
Eilean Siar,Ecstasy,0,2010
Eilean Siar,Amphetamines,0,2010
Eilean Siar,Alcohol,0,2010
Falkirk,All drug-related deaths,10,2010
Falkirk,Heroin/Morphine,7,2010
Falkirk,Methadone,2,2010
Falkirk,Any Benzodiazepine,6,2010
Falkirk,Diazepam,6,2010
Falkirk,Temazepam,0,2010
Falkirk,Cocaine,1,2010
Falkirk,Ecstasy,0,2010
Falkirk,Amphetamines,0,2010
Falkirk,Alcohol,2,2010
Fife,All drug-related deaths,35,2010
Fife,Heroin/Morphine,21,2010
Fife,Methadone,19,2010
Fife,Any Benzodiazepine,12,2010
Fife,Diazepam,12,2010
Fife,Temazepam,0,2010
Fife,Cocaine,0,2010
Fife,Ecstasy,0,2010
Fife,Amphetamines,1,2010
Fife,Alcohol,9,2010
Glasgow City,All drug-related deaths,94,2010
Glasgow City,Heroin/Morphine,52,2010
Glasgow City,Methadone,39,2010
Glasgow City,Any Benzodiazepine,76,2010
Glasgow City,Diazepam,74,2010
Glasgow City,Temazepam,0,2010
Glasgow City,Cocaine,10,2010
Glasgow City,Ecstasy,0,2010
Glasgow City,Amphetamines,3,2010
Glasgow City,Alcohol,50,2010
Highland,All drug-related deaths,6,2010
Highland,Heroin/Morphine,5,2010
Highland,Methadone,0,2010
Highland,Any Benzodiazepine,4,2010
Highland,Diazepam,3,2010
Highland,Temazepam,0,2010
Highland,Cocaine,2,2010
Highland,Ecstasy,1,2010
Highland,Amphetamines,2,2010
Highland,Alcohol,5,2010
Inverclyde,All drug-related deaths,17,2010
Inverclyde,Heroin/Morphine,11,2010
Inverclyde,Methadone,6,2010
Inverclyde,Any Benzodiazepine,12,2010
Inverclyde,Diazepam,12,2010
Inverclyde,Temazepam,0,2010
Inverclyde,Cocaine,0,2010
Inverclyde,Ecstasy,0,2010
Inverclyde,Amphetamines,0,2010
Inverclyde,Alcohol,9,2010
Midlothian,All drug-related deaths,7,2010
Midlothian,Heroin/Morphine,2,2010
Midlothian,Methadone,6,2010
Midlothian,Any Benzodiazepine,4,2010
Midlothian,Diazepam,4,2010
Midlothian,Temazepam,0,2010
Midlothian,Cocaine,0,2010
Midlothian,Ecstasy,0,2010
Midlothian,Amphetamines,0,2010
Midlothian,Alcohol,3,2010
Moray,All drug-related deaths,3,2010
Moray,Heroin/Morphine,0,2010
Moray,Methadone,1,2010
Moray,Any Benzodiazepine,3,2010
Moray,Diazepam,1,2010
Moray,Temazepam,0,2010
Moray,Cocaine,1,2010
Moray,Ecstasy,0,2010
Moray,Amphetamines,0,2010
Moray,Alcohol,3,2010
North Ayrshire,All drug-related deaths,12,2010
North Ayrshire,Heroin/Morphine,10,2010
North Ayrshire,Methadone,2,2010
North Ayrshire,Any Benzodiazepine,5,2010
North Ayrshire,Diazepam,5,2010
North Ayrshire,Temazepam,0,2010
North Ayrshire,Cocaine,1,2010
North Ayrshire,Ecstasy,0,2010
North Ayrshire,Amphetamines,0,2010
North Ayrshire,Alcohol,6,2010
North Lanarkshire,All drug-related deaths,36,2010
North Lanarkshire,Heroin/Morphine,24,2010
North Lanarkshire,Methadone,12,2010
North Lanarkshire,Any Benzodiazepine,22,2010
North Lanarkshire,Diazepam,22,2010
North Lanarkshire,Temazepam,0,2010
North Lanarkshire,Cocaine,6,2010
North Lanarkshire,Ecstasy,0,2010
North Lanarkshire,Amphetamines,1,2010
North Lanarkshire,Alcohol,15,2010
Orkney Islands,All drug-related deaths,2,2010
Orkney Islands,Heroin/Morphine,0,2010
Orkney Islands,Methadone,0,2010
Orkney Islands,Any Benzodiazepine,0,2010
Orkney Islands,Diazepam,0,2010
Orkney Islands,Temazepam,0,2010
Orkney Islands,Cocaine,0,2010
Orkney Islands,Ecstasy,0,2010
Orkney Islands,Amphetamines,0,2010
Orkney Islands,Alcohol,0,2010
Perth and Kinross,All drug-related deaths,3,2010
Perth and Kinross,Heroin/Morphine,2,2010
Perth and Kinross,Methadone,0,2010
Perth and Kinross,Any Benzodiazepine,1,2010
Perth and Kinross,Diazepam,1,2010
Perth and Kinross,Temazepam,0,2010
Perth and Kinross,Cocaine,0,2010
Perth and Kinross,Ecstasy,0,2010
Perth and Kinross,Amphetamines,0,2010
Perth and Kinross,Alcohol,0,2010
Renfrewshire,All drug-related deaths,19,2010
Renfrewshire,Heroin/Morphine,15,2010
Renfrewshire,Methadone,6,2010
Renfrewshire,Any Benzodiazepine,19,2010
Renfrewshire,Diazepam,19,2010
Renfrewshire,Temazepam,1,2010
Renfrewshire,Cocaine,3,2010
Renfrewshire,Ecstasy,0,2010
Renfrewshire,Amphetamines,0,2010
Renfrewshire,Alcohol,6,2010
Scottish Borders,All drug-related deaths,9,2010
Scottish Borders,Heroin/Morphine,7,2010
Scottish Borders,Methadone,1,2010
Scottish Borders,Any Benzodiazepine,8,2010
Scottish Borders,Diazepam,8,2010
Scottish Borders,Temazepam,0,2010
Scottish Borders,Cocaine,0,2010
Scottish Borders,Ecstasy,0,2010
Scottish Borders,Amphetamines,0,2010
Scottish Borders,Alcohol,5,2010
Shetland Islands,All drug-related deaths,2,2010
Shetland Islands,Heroin/Morphine,2,2010
Shetland Islands,Methadone,0,2010
Shetland Islands,Any Benzodiazepine,1,2010
Shetland Islands,Diazepam,0,2010
Shetland Islands,Temazepam,0,2010
Shetland Islands,Cocaine,0,2010
Shetland Islands,Ecstasy,0,2010
Shetland Islands,Amphetamines,0,2010
Shetland Islands,Alcohol,1,2010
South Ayrshire,All drug-related deaths,8,2010
South Ayrshire,Heroin/Morphine,3,2010
South Ayrshire,Methadone,5,2010
South Ayrshire,Any Benzodiazepine,8,2010
South Ayrshire,Diazepam,8,2010
South Ayrshire,Temazepam,0,2010
South Ayrshire,Cocaine,1,2010
South Ayrshire,Ecstasy,0,2010
South Ayrshire,Amphetamines,0,2010
South Ayrshire,Alcohol,2,2010
South Lanarkshire,All drug-related deaths,26,2010
South Lanarkshire,Heroin/Morphine,17,2010
South Lanarkshire,Methadone,8,2010
South Lanarkshire,Any Benzodiazepine,18,2010
South Lanarkshire,Diazepam,18,2010
South Lanarkshire,Temazepam,0,2010
South Lanarkshire,Cocaine,5,2010
South Lanarkshire,Ecstasy,0,2010
South Lanarkshire,Amphetamines,1,2010
South Lanarkshire,Alcohol,11,2010
Stirling,All drug-related deaths,7,2010
Stirling,Heroin/Morphine,5,2010
Stirling,Methadone,2,2010
Stirling,Any Benzodiazepine,5,2010
Stirling,Diazepam,5,2010
Stirling,Temazepam,0,2010
Stirling,Cocaine,0,2010
Stirling,Ecstasy,0,2010
Stirling,Amphetamines,0,2010
Stirling,Alcohol,4,2010
West Dunbartonshire,All drug-related deaths,18,2010
West Dunbartonshire,Heroin/Morphine,6,2010
West Dunbartonshire,Methadone,8,2010
West Dunbartonshire,Any Benzodiazepine,10,2010
West Dunbartonshire,Diazepam,9,2010
West Dunbartonshire,Temazepam,1,2010
West Dunbartonshire,Cocaine,4,2010
West Dunbartonshire,Ecstasy,0,2010
West Dunbartonshire,Amphetamines,0,2010
West Dunbartonshire,Alcohol,10,2010
West Lothian,All drug-related deaths,12,2010
West Lothian,Heroin/Morphine,6,2010
West Lothian,Methadone,2,2010
West Lothian,Any Benzodiazepine,5,2010
West Lothian,Diazepam,5,2010
West Lothian,Temazepam,1,2010
West Lothian,Cocaine,1,2010
West Lothian,Ecstasy,0,2010
West Lothian,Amphetamines,0,2010
West Lothian,Alcohol,7,2010
Scotland,All drug-related deaths,584,2011
Scotland,Heroin/Morphine,225,2011
Scotland,Methadone,290,2011
Scotland,Any Benzodiazepine,423,2011
Scotland,Diazepam,357,2011
Scotland,Temazepam,30,2011
Scotland,Cocaine,55,2011
Scotland,Ecstasy,8,2011
Scotland,Amphetamines,35,2011
Scotland,Alcohol,241,2011
Aberdeen City,All drug-related deaths,29,2011
Aberdeen City,Heroin/Morphine,7,2011
Aberdeen City,Methadone,16,2011
Aberdeen City,Any Benzodiazepine,28,2011
Aberdeen City,Diazepam,2,2011
Aberdeen City,Temazepam,0,2011
Aberdeen City,Cocaine,6,2011
Aberdeen City,Ecstasy,0,2011
Aberdeen City,Amphetamines,1,2011
Aberdeen City,Alcohol,12,2011
Aberdeenshire,All drug-related deaths,19,2011
Aberdeenshire,Heroin/Morphine,3,2011
Aberdeenshire,Methadone,13,2011
Aberdeenshire,Any Benzodiazepine,13,2011
Aberdeenshire,Diazepam,4,2011
Aberdeenshire,Temazepam,0,2011
Aberdeenshire,Cocaine,4,2011
Aberdeenshire,Ecstasy,0,2011
Aberdeenshire,Amphetamines,3,2011
Aberdeenshire,Alcohol,11,2011
Angus,All drug-related deaths,8,2011
Angus,Heroin/Morphine,5,2011
Angus,Methadone,2,2011
Angus,Any Benzodiazepine,3,2011
Angus,Diazepam,3,2011
Angus,Temazepam,0,2011
Angus,Cocaine,0,2011
Angus,Ecstasy,0,2011
Angus,Amphetamines,0,2011
Angus,Alcohol,4,2011
Argyll and Bute,All drug-related deaths,12,2011
Argyll and Bute,Heroin/Morphine,4,2011
Argyll and Bute,Methadone,5,2011
Argyll and Bute,Any Benzodiazepine,6,2011
Argyll and Bute,Diazepam,6,2011
Argyll and Bute,Temazepam,0,2011
Argyll and Bute,Cocaine,0,2011
Argyll and Bute,Ecstasy,0,2011
Argyll and Bute,Amphetamines,0,2011
